action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,233,2,1,37,16,16,233,,,,,,,1463,1,1463,5,3,,1421,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,39,"[{'action_type': 'subscribe_mobile_app', 'value': '43.32'}, {'action_type': 'subscribe_total', 'value': '43.32'}, {'action_type': 'start_trial_mobile_app', 'value': '14.44'}, {'action_type': 'start_trial_total', 'value': '14.44'}]",2.341622,"[{'action_type': 'outbound_click', 'value': '2.341622'}]",2.341622,5.415,0.371845,,0.059221,0.059221,17.328,,0.060971,2.221538,19.526707,20.599144,0.878972,2025-11-30,2025-11-30,1.054922,4437,0.833897,37,"[{'action_type': 'outbound_click', 'value': '37'}]","[{'action_type': 'outbound_click', 'value': '0.833897'}]",4206,86.64,113,3,102,1344,547,290
,437,2,,33,16,16,437,,,,,,,1851,,1851,7,7,,1811,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,40,"[{'action_type': 'subscribe_mobile_app', 'value': '19.393333'}, {'action_type': 'subscribe_total', 'value': '19.393333'}, {'action_type': 'start_trial_mobile_app', 'value': '16.622857'}, {'action_type': 'start_trial_total', 'value': '16.622857'}]",3.526061,"[{'action_type': 'outbound_click', 'value': '3.63625'}]",3.526061,7.2725,0.26627,,0.062863,0.062863,16.622857,,0.064252,2.909,23.384244,25.345241,0.803859,2025-11-30,2025-11-30,1.08386,4976,0.663183,33,"[{'action_type': 'outbound_click', 'value': '32'}]","[{'action_type': 'outbound_click', 'value': '0.643087'}]",4591,116.36,151,3,144,1710,749,371
,93,,,11,4,4,93,,,,,,,554,,554,3,3,,540,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,11,"[{'action_type': 'subscribe_mobile_app', 'value': '17.915'}, {'action_type': 'subscribe_total', 'value': '17.915'}, {'action_type': 'start_trial_mobile_app', 'value': '17.915'}, {'action_type': 'start_trial_total', 'value': '17.915'}]",3.257273,"[{'action_type': 'outbound_click', 'value': '3.257273'}]",3.257273,8.9575,0.385269,,0.064675,0.064675,11.943333,,0.066352,3.257273,27.37204,29.465461,0.840336,2025-11-30,2025-11-30,1.07648,1309,0.840336,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '0.840336'}]",1216,35.83,41,4,40,509,208,116
,,,,2,,,,,,,,,,74,,74,,,,72,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,2.8,"[{'action_type': 'outbound_click', 'value': '2.8'}]",2.8,,,,0.075676,0.075676,,,0.077778,2.8,26.540284,27.860697,0.947867,2025-11-30,2025-11-30,1.049751,211,0.947867,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.947867'}]",201,5.6,4,3,4,70,21,13
,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,50,50,0,2025-11-30,2025-11-30,1,1,,,,,1,0.05,,2,,,,
,3,,,2,1,1,3,,,,,,,43,,43,,,,41,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,1.23,"[{'action_type': 'outbound_click', 'value': '1.23'}]",1.23,2.46,0.82,,0.057209,0.057209,,,0.06,1.23,19.68,20.847458,1.6,2025-11-30,2025-11-30,1.059322,125,1.6,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.6'}]",118,2.46,4,3,4,39,14,7
,28,1,,9,5,5,28,,,,,,,263,1,263,3,2,,251,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,9,,2.085556,"[{'action_type': 'outbound_click', 'value': '2.085556'}]",2.085556,3.754,0.670357,,0.071369,0.071369,6.256667,,0.074781,2.085556,18.048077,18.529121,0.865385,2025-11-30,2025-11-30,1.026654,1040,0.865385,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '0.865385'}]",1013,18.77,30,3,27,238,111,65
,219,1,,26,11,11,219,,,,,,,670,,670,7,7,,637,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,26,"[{'action_type': 'subscribe_mobile_app', 'value': '42.27'}, {'action_type': 'subscribe_total', 'value': '42.27'}, {'action_type': 'start_trial_mobile_app', 'value': '10.5675'}, {'action_type': 'start_trial_total', 'value': '10.5675'}]",1.625769,"[{'action_type': 'outbound_click', 'value': '1.625769'}]",1.625769,3.842727,0.193014,,0.06309,0.06309,6.038571,,0.066358,1.625769,21.699179,24.532792,1.334702,2025-11-30,2025-11-30,1.130586,1948,1.334702,26,"[{'action_type': 'outbound_click', 'value': '26'}]","[{'action_type': 'outbound_click', 'value': '1.334702'}]",1723,42.27,82,3,74,602,274,172
,54,,,8,4,4,54,,,,,,,435,,435,3,3,,424,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,8,"[{'action_type': 'subscribe_mobile_app', 'value': '30.83'}, {'action_type': 'subscribe_total', 'value': '30.83'}, {'action_type': 'start_trial_mobile_app', 'value': '30.83'}, {'action_type': 'start_trial_total', 'value': '30.83'}]",3.85375,"[{'action_type': 'outbound_click', 'value': '3.85375'}]",3.85375,7.7075,0.570926,,0.070874,0.070874,10.276667,,0.072712,3.85375,27.067603,29.961127,0.702371,2025-11-30,2025-11-30,1.1069,1139,0.702371,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '0.702371'}]",1029,30.83,51,4,46,402,179,106
,2,1,,2,,,2,,,,,,,81,,81,1,1,,78,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,3.13,"[{'action_type': 'outbound_click', 'value': '3.13'}]",3.13,,3.13,,0.077284,0.077284,6.26,,0.080256,3.13,33.655914,37.261905,1.075269,2025-11-30,2025-11-30,1.107143,186,1.075269,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.075269'}]",168,6.26,14,4,12,76,35,23
