action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.02,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,15,15,0,2025-12-12,2025-12-12,UNKNOWN,1,4,,,,,UNKNOWN,4,0.06,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920996505984,04_fbg_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,UNKNOWN,1,3,,,,,UNKNOWN,3,0.03,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920996506784,10_Red pants_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,40,40,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.04,,1,,,,
,270,2,,61,18,18,270,,,,19,,,,,1886,1,1886,20,19,,1805,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,59,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '23.5025'}, {'action_type': 'subscribe_total', 'value': '23.5025'}, {'action_type': 'start_trial_mobile_app', 'value': '15.668333'}, {'action_type': 'start_trial_total', 'value': '15.668333'}]",1.541148,"[{'action_type': 'outbound_click', 'value': '1.541148'}]",1.541148,5.222778,0.348185,,0.049846,0.049846,4.7005,,0.052083,1.59339,23.656266,24.772069,1.48465,2025-12-12,2025-12-12,AVERAGE,1.047167,3974,1.534977,61,"[{'action_type': 'outbound_click', 'value': '61'}]","[{'action_type': 'outbound_click', 'value': '1.534977'}]",AVERAGE,3795,94.01,232,5,210,1616,987,688
,,,,,,,,,,,,,,,,,,,,,,,,6920996507184,08_Red dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,35,35,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.07,,1,,,,
,,,,1,,,,,,,,,,,,2,,2,,,,1,,6920999336184,07_nose ring_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,UNKNOWN,,0.66,"[{'action_type': 'outbound_click', 'value': '0.66'}]",0.66,,,,0.33,0.33,,,0.66,0.66,660,660,100,2025-12-12,2025-12-12,UNKNOWN,1,1,100,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '100'}]",UNKNOWN,1,0.66,,5,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920999336584,09_red lipstick_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,60,60,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.12,,1,,,,
,,,,,,,,,,,,,,,,3,,3,,,,3,,6920999336784,05_greendress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,,25,25,0,2025-12-12,2025-12-12,UNKNOWN,1,6,,,,,UNKNOWN,6,0.15,2,7,2,3,2,2
,,,,,,,,,,,,,,,,,,,,,,,,6920999336984,03_blackbodysuit_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.04,,1,,,,
