action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,3,,3,,,,3,,6916856841784,01 Jesus_travis,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,8.571429,15,0,2025-11-29,2025-11-29,UNKNOWN,1.75,7,,,,,UNKNOWN,4,0.06,,5,,3,2,3
,,,,,,,,,,,,,2,,2,,,,2,,6916857336784,01 Santa_slim,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.035,0.035,,,0.035,,17.5,17.5,0,2025-11-29,2025-11-29,UNKNOWN,1,4,,,,,UNKNOWN,4,0.07,,5,1,2,1,1
,214,,,32,17,17,214,,,1,1,,1229,2,1229,15,12,,1182,,6916858590184,02 Eddie_Snoop,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,32,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '23.87'}, {'action_type': 'subscribe_total', 'value': '23.87'}, {'action_type': 'start_trial_mobile_app', 'value': '23.87'}, {'action_type': 'start_trial_total', 'value': '23.87'}]",0.745938,"[{'action_type': 'outbound_click', 'value': '0.745938'}]",0.745938,1.404118,0.111542,,0.019422,0.019422,1.591333,,0.020195,0.745938,9.202005,9.202005,1.233616,2025-11-29,2025-11-29,ABOVE_AVERAGE,1,2594,1.233616,32,"[{'action_type': 'outbound_click', 'value': '32'}]","[{'action_type': 'outbound_click', 'value': '1.233616'}]",AVERAGE,2594,23.87,92,5,84,1085,567,346
,,,,,,,,,,,,,1,,1,,,,1,,6916859158784,02 Mike_rapGod,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,,25,25,0,2025-11-29,2025-11-29,UNKNOWN,1,2,,,,,UNKNOWN,2,0.05,,2,,1,,
,,,,,,,,,,,,,2,,2,,,,2,,6916860073184,02 Mike_sicko,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.055,0.055,,,0.055,,11,11,0,2025-11-29,2025-11-29,UNKNOWN,1,10,,,,,UNKNOWN,10,0.11,,3,,2,2,
,,,,,,,,,,,,,2,,2,,,,2,,6916860754984,02 snoop_loseYourself,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.025,0.025,,,0.025,,12.5,12.5,0,2025-11-29,2025-11-29,UNKNOWN,1,4,,,,,UNKNOWN,4,0.05,,4,,2,,
,,,,,,,,,,,,,4,,4,,,,4,,6916861420184,02 Timothy_slim,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.025,0.025,,,0.025,,12.5,14.285714,0,2025-11-29,2025-11-29,UNKNOWN,1.142857,8,,,,,UNKNOWN,7,0.1,,4,,4,1,1
,,,,1,,,,,,,,,3,,3,,,,2,,6916862364784,03 Mike_gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,1,UNKNOWN,,0.1,"[{'action_type': 'outbound_click', 'value': '0.1'}]",0.1,,,,0.033333,0.033333,,,0.05,0.1,16.666667,25,16.666667,2025-11-29,2025-11-29,UNKNOWN,1.5,6,16.666667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '16.666667'}]",UNKNOWN,4,0.1,1,4,1,1,1,1
,,,,,,,,,,,,,3,,3,,,,3,,6916863115584,03 Snoop_sicko,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.056667,0.056667,,,0.056667,,11.333333,11.333333,0,2025-11-29,2025-11-29,UNKNOWN,1,15,,,,,UNKNOWN,15,0.17,,3,,3,2,1
,,,,1,,,,,,,,,2,,2,,,,1,,6916863278384,03 will_loseYourself,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,1,UNKNOWN,,0.06,"[{'action_type': 'outbound_click', 'value': '0.06'}]",0.06,,,,0.03,0.03,,,0.06,0.06,12,12,20,2025-11-29,2025-11-29,UNKNOWN,1,5,20,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '20'}]",UNKNOWN,5,0.06,1,4,1,1,1,1
