action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992821984,02 snoop_loseYourself - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.07,0.07,,,0.07,,14,14,0,2025-12-05,2025-12-05,1,male,5,,,,,5,0.07,,2,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920992822184,03 will_loseYourself - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.045,0.045,,,0.045,,30,30,0,2025-12-05,2025-12-05,1,male,3,,,,,3,0.09,,4,,2,,
3,128,,,15,2,2,128,3,3,,,,,3,320,2,320,8,6,3,297,3,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,15,"[{'action_type': 'subscribe_mobile_app', 'value': '8.72'}, {'action_type': 'subscribe_total', 'value': '8.72'}]",1.162667,"[{'action_type': 'outbound_click', 'value': '1.162667'}]",1.162667,8.72,0.13625,5.813333,0.0545,0.0545,2.18,5.813333,0.058721,1.162667,23.663501,25.385735,2.035278,2025-12-05,2025-12-05,1.07278,female,737,2.035278,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '2.035278'}]",687,17.44,47,4,46,262,143,90
4,962,11,2,378,100,100,962,4,4,1,7,7,2,4,7104,13,7104,110,88,4,6616,4,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,416,"[{'action_type': 'subscribe_mobile_app', 'value': '82.9'}, {'action_type': 'subscribe_total', 'value': '82.9'}]",0.877249,"[{'action_type': 'outbound_click', 'value': '0.877249'}]",0.877249,3.316,0.344699,82.9,0.046678,0.046678,3.014545,82.9,0.050121,0.797115,19.972294,21.480858,2.505571,2025-12-05,2025-12-05,1.075533,male,16603,2.276697,378,"[{'action_type': 'outbound_click', 'value': '378'}]","[{'action_type': 'outbound_click', 'value': '2.276697'}]",15437,331.6,750,4,717,5939,3221,1979
,,,,1,,,,,,,,,,,52,,52,,,,51,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,1,,2.61,"[{'action_type': 'outbound_click', 'value': '2.61'}]",2.61,,,,0.050192,0.050192,,,0.051176,2.61,20.88,22.118644,0.8,2025-12-05,2025-12-05,1.059322,unknown,125,0.8,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.8'}]",118,2.61,4,4,4,45,22,12
,,,,,,,,,,,,,,,,,,,,,,,6920992822784,03 Mike_gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,female,3,,,,,3,0.03,,1,,,,
,,,,,,,,,,,,,,,5,,5,,,,5,,6920992822784,03 Mike_gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.036,0.036,,,0.036,,13.846154,13.846154,0,2025-12-05,2025-12-05,1,male,13,,,,,13,0.18,1,5,1,5,3,3
,,,,,,,,,,,,,,,,,,,,,,,6920992822984,02 Mike_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,8.333333,8.333333,0,2025-12-05,2025-12-05,1,male,6,,,,,6,0.05,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992823184,03 Snoop_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.06,0.06,,,0.06,,8.571429,8.571429,0,2025-12-05,2025-12-05,1,male,7,,,,,7,0.06,,2,,1,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920992823384,02 Timothy_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,5,5,0,2025-12-05,2025-12-05,1,male,4,,,,,4,0.02,,3,,2,1,
