action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,6,,6,,,,6,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.158333,0.158333,,,0.158333,,33.928571,35.185185,0,2025-11-30,2025-11-30,1.037037,male,28,,,,,27,0.95,,2,,5,2,2
,,,,,,,,,,,,,,,,,,,,,,6916143725584,jesus_rap_1_4x5_subtitles,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,20,20,0,2025-11-30,2025-11-30,1,male,1,,,,,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6916143725784,tyson_rap_2_4x5_subtitles,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,0,0,0,2025-11-30,2025-11-30,1,male,1,,,,,1,0,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,40,40,0,2025-11-30,2025-11-30,1,male,1,,,,,1,0.04,,1,,,,
,,,,,,,,,,,,,,7,,7,,,,7,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.192857,0.192857,,,0.192857,,40.909091,46.551724,0,2025-11-30,2025-11-30,1.137931,female,33,,,,,29,1.35,,3,,6,4,2
,,,,,,,,,,,,,,2,,2,,,,2,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.315,0.315,,,0.315,,52.5,57.272727,0,2025-11-30,2025-11-30,1.090909,male,12,,,,,11,0.63,,1,,2,,
,616,3,,113,37,37,616,,,,,,,2536,3,2536,30,27,,2393,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,111,"[{'action_type': 'subscribe_mobile_app', 'value': '23.687143'}, {'action_type': 'subscribe_total', 'value': '23.687143'}, {'action_type': 'start_trial_mobile_app', 'value': '12.754615'}, {'action_type': 'start_trial_total', 'value': '12.754615'}]",1.467345,"[{'action_type': 'outbound_click', 'value': '1.467345'}]",1.467345,4.481351,0.269172,,0.065382,0.065382,5.527,,0.06929,1.493784,27.280355,28.826495,1.826259,2025-11-30,2025-11-30,1.056676,female,6078,1.859164,113,"[{'action_type': 'outbound_click', 'value': '113'}]","[{'action_type': 'outbound_click', 'value': '1.859164'}]",5752,165.81,320,4,293,2080,1171,931
,2,,,3,,,2,,,,,,,133,,133,,,,130,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,,2.843333,"[{'action_type': 'outbound_click', 'value': '2.843333'}]",2.843333,,4.265,,0.064135,0.064135,,,0.065615,2.1325,23.179348,25.386905,1.086957,2025-11-30,2025-11-30,1.095238,male,368,0.815217,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.815217'}]",336,8.53,15,3,14,106,59,41
,,,,,,,,,,,,,,13,,13,,,,13,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.165385,0.165385,,,0.165385,,74.137931,89.583333,0,2025-11-30,2025-11-30,1.208333,unknown,29,,,,,24,2.15,1,5,1,12,8,6
,194,,,30,11,11,194,,,,,,,551,,551,2,2,,519,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,31,"[{'action_type': 'subscribe_mobile_app', 'value': '21.39'}, {'action_type': 'subscribe_total', 'value': '21.39'}, {'action_type': 'start_trial_mobile_app', 'value': '8.556'}, {'action_type': 'start_trial_total', 'value': '8.556'}]",1.426,"[{'action_type': 'outbound_click', 'value': '1.426'}]",1.426,3.889091,0.220515,,0.077641,0.077641,21.39,,0.082428,1.38,25.046838,26.670823,1.814988,2025-11-30,2025-11-30,1.064838,female,1708,1.75644,30,"[{'action_type': 'outbound_click', 'value': '30'}]","[{'action_type': 'outbound_click', 'value': '1.75644'}]",1604,42.78,78,4,74,455,269,190
