action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,30,30,0,2025-12-04,2025-12-04,1,1,,,,,instagram,1,0.03,,1,,,,
,,,,,,,,,,,,,,3,,3,,,,3,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.016667,0.016667,,,0.016667,,16.666667,16.666667,0,2025-12-04,2025-12-04,1,3,,,,,audience_network,3,0.05,3,14,3,3,3,3
,9,,,15,4,4,9,,,,,,,264,1,264,3,2,,246,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,15,,1.982,"[{'action_type': 'outbound_click', 'value': '1.982'}]",1.982,7.4325,3.303333,,0.112614,0.112614,9.91,,0.120854,1.982,37.116105,41.522346,1.872659,2025-12-04,2025-12-04,1.118715,801,1.872659,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '1.872659'}]",facebook,716,29.73,44,4,42,224,116,85
,2,,,4,2,2,2,,,,,,,129,,129,1,1,,124,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,6,,4.465,"[{'action_type': 'outbound_click', 'value': '4.465'}]",4.465,8.93,8.93,,0.13845,0.13845,17.86,,0.144032,2.976667,45.445293,46.149871,1.526718,2025-12-04,2025-12-04,1.015504,393,1.017812,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.017812'}]",instagram,387,17.86,11,3,11,103,49,31
,,,,,,,,,,,,,,26,,26,,,,26,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.032308,0.032308,,,0.032308,,21.538462,22.105263,0,2025-12-04,2025-12-04,1.026316,39,,,,,threads,38,0.84,5,7,5,20,15,10
,280,2,,77,27,27,280,,,1,1,1,,1457,4,1457,18,13,,1362,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,74,,0.522338,"[{'action_type': 'outbound_click', 'value': '0.522338'}]",0.522338,1.48963,0.143643,,0.027605,0.027605,2.234444,,0.02953,0.543514,9.975198,10.890875,1.835317,2025-12-04,2025-12-04,1.091795,4032,1.909722,77,"[{'action_type': 'outbound_click', 'value': '77'}]","[{'action_type': 'outbound_click', 'value': '1.909722'}]",facebook,3693,40.22,168,4,158,1192,580,401
,13,,,8,1,1,13,,,,,,,155,,155,2,2,,145,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,8,,0.73375,"[{'action_type': 'outbound_click', 'value': '0.73375'}]",0.73375,5.87,0.451538,,0.037871,0.037871,2.935,,0.040483,0.73375,14.711779,14.785894,2.005013,2025-12-04,2025-12-04,1.005038,399,2.005013,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '2.005013'}]",instagram,397,5.87,20,4,20,127,56,39
,,,,,,,,,,,,,,22,,22,,,,22,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.020909,0.020909,,,0.020909,,11.5,11.5,0,2025-12-04,2025-12-04,1,40,,,,,threads,40,0.46,4,5,5,19,6,4
,,,,,,,,,,,,,,1,,1,,,,1,,6916177884584,08 aiartist3 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.05,0.05,,,0.05,,50,50,0,2025-12-04,2025-12-04,1,1,,,,,instagram,1,0.05,,4,,1,,
,514,3,,177,62,62,514,,,1,1,1,,3661,4,3661,61,56,,3423,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,173,,0.406669,"[{'action_type': 'outbound_click', 'value': '0.406669'}]",0.406669,1.160975,0.14004,,0.019661,0.019661,1.180007,,0.021028,0.416072,10.294685,10.781971,2.474256,2025-12-04,2025-12-04,1.047334,6992,2.531465,177,"[{'action_type': 'outbound_click', 'value': '177'}]","[{'action_type': 'outbound_click', 'value': '2.531465'}]",facebook,6676,71.980437,507,5,458,3053,1715,1352
