action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,4,,,,1,1,4,,,,,,,,,,,,,,6912304741984,10 kimk-braids_kpop,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,25-34,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,0,0,,,,,,,,,,,2025-11-22,2025-11-22,0,0,,,,,0,0,,,,,,
,6,,,,1,1,6,,,,,,,,,,,,,,6912304741984,10 kimk-braids_kpop,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,35-44,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,0,0,,,,,,,,,,,2025-11-22,2025-11-22,0,0,,,,,0,0,,,,,,
,3,,,,,,3,,,,,,,,,,,,,,6912304741984,10 kimk-braids_kpop,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,45-54,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,0,,,,,,,,,,,2025-11-22,2025-11-22,0,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,26,,26,,,,26,,6912306130584,10 kimk-braids_Slayer,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,18-24,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,2.78,,0.106923,0.106923,,,0.106923,,30.888889,35.641026,0,2025-11-22,2025-11-22,1.153846,90,,,,,78,2.78,5,4,6,26,11,8
,32,,,7,1,1,32,,,,,,204,,204,,,,197,,6912306130584,10 kimk-braids_Slayer,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,25-34,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,8,,3.542857,"[{'action_type': 'outbound_click', 'value': '3.542857'}]",3.542857,24.8,0.775,,0.121569,0.121569,,,0.125888,3.1,40.655738,45.925926,1.311475,2025-11-22,2025-11-22,1.12963,610,1.147541,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.147541'}]",540,24.8,17,3,16,163,69,37
,18,,,7,3,3,18,,,,,,249,,249,,,,242,,6912306130584,10 kimk-braids_Slayer,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,35-44,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,7,,4.477143,"[{'action_type': 'outbound_click', 'value': '4.477143'}]",4.477143,10.446667,1.741111,,0.125863,0.125863,,,0.129504,4.477143,39.771574,43.108666,0.888325,2025-11-22,2025-11-22,1.083906,788,0.888325,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '0.888325'}]",727,31.34,32,4,32,205,98,56
,6,,,7,,,6,,,,,,154,,154,1,1,,146,,6912306130584,10 kimk-braids_Slayer,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,45-54,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,6,,2.655714,"[{'action_type': 'outbound_click', 'value': '2.655714'}]",2.655714,,3.098333,,0.120714,0.120714,18.59,,0.127329,3.098333,50.243243,55.163205,1.621622,2025-11-22,2025-11-22,1.097923,370,1.891892,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.891892'}]",337,18.59,22,4,22,126,61,36
,6,,,2,1,1,6,,,,,,44,,44,,,,42,,6912306130584,10 kimk-braids_Slayer,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,55-64,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,2,,3.155,"[{'action_type': 'outbound_click', 'value': '3.155'}]",3.155,6.31,1.051667,,0.143409,0.143409,,,0.150238,3.155,69.340659,74.235294,2.197802,2025-11-22,2025-11-22,1.070588,91,2.197802,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.197802'}]",85,6.31,8,6,7,38,20,12
,,,,1,,,,,,,,,15,,15,,,,14,,6912306130584,10 kimk-braids_Slayer,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,65+,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,1,,0.85,"[{'action_type': 'outbound_click', 'value': '0.85'}]",0.85,,,,0.056667,0.056667,,,0.060714,0.85,34,42.5,4,2025-11-22,2025-11-22,1.25,25,4,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4'}]",20,0.85,2,5,2,12,4,2
,,,,1,,,,,,,,,7,,7,,,,6,,6912309014984,14 pennsylvanileibin_This_is_a_yo_y2k,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,18-24,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,1,,0.37,"[{'action_type': 'outbound_click', 'value': '0.37'}]",0.37,,,,0.052857,0.052857,,,0.061667,0.37,14.8,18.5,4,2025-11-22,2025-11-22,1.25,25,4,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4'}]",20,0.37,1,3,1,6,2,1
