action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,4,,4,,,,4,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.075,0.075,,,0.075,,30,30,0,2025-12-10,2025-12-10,1,male,10,,,,,10,0.3,,2,,4,1,
,10,,,2,,,10,,,,,,,,38,,38,,,,36,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,1.005,"[{'action_type': 'outbound_click', 'value': '1.005'}]",1.005,,0.201,,0.052895,0.052895,,,0.055833,1.005,19.326923,20.510204,1.923077,2025-12-10,2025-12-10,1.061224,female,104,1.923077,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.923077'}]",98,2.01,3,3,3,33,9,5
,,,,,,,,,,,,,,,1,,1,,,,1,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.09,0.09,,,0.09,,18,18,0,2025-12-10,2025-12-10,1,male,5,,,,,5,0.09,1,5,1,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-10,2025-12-10,1,unknown,1,,,,,1,0,,6,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480184,04 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.04,0.04,,,0.04,,40,40,0,2025-12-10,2025-12-10,1,male,1,,,,,1,0.04,,6,,1,,
,5,,,1,1,1,5,,,,,,,,2,,2,,,,1,,6917505480384,05 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.05,"[{'action_type': 'outbound_click', 'value': '0.05'}]",0.05,0.05,0.01,,0.025,0.025,,,0.05,0.05,25,25,50,2025-12-10,2025-12-10,1,male,2,50,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '50'}]",2,0.05,,4,,1,1,
,,,,,,,,,,,,,,,13,,13,,,,13,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.099231,0.099231,,,0.099231,,20.47619,21.5,0,2025-12-10,2025-12-10,1.05,female,63,,,,,60,1.29,1,2,1,11,6,3
,,,,,,,,,,,,,,,,,,,,,,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,22.5,22.5,0,2025-12-10,2025-12-10,1,male,4,,,,,4,0.09,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6917505480784,18 esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-10,2025-12-10,1,female,1,,,,,1,0.01,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480784,18 esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.05,0.05,,,0.05,,25,25,0,2025-12-10,2025-12-10,1,male,2,,,,,2,0.05,,3,,1,1,
