action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,2,,,,,,2,,,,,,,,,,,,,,,6920213202984,03_blackbodysuit_I like it,6920211227584,Test_F_ILikeIt,45-54,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,0,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,6920229519184,02_blackNew_Wap 2,6920228641784,Test_F_Wap2,45-54,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,0,0,,,,,0,0,,,,,,
,,,,1,,,,,,,,,,33,,33,1,1,,31,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),18-24,6920965699384,FB_iOS_Purchase_Rap_251203,1,,1.65,"[{'action_type': 'outbound_click', 'value': '1.65'}]",1.65,,,,0.05,0.05,1.65,,0.053226,1.65,19.879518,20.625,1.204819,2025-12-06,2025-12-06,1.0375,83,1.204819,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.204819'}]",80,1.65,,3,,27,6,3
,24,,,14,4,4,24,,,,,,,300,1,300,5,4,,281,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),25-34,6920965699384,FB_iOS_Purchase_Rap_251203,18,,0.931429,"[{'action_type': 'outbound_click', 'value': '0.931429'}]",0.931429,3.26,0.543333,,0.043467,0.043467,2.608,,0.046406,0.724444,14.851936,15.505351,2.050114,2025-12-06,2025-12-06,1.043995,878,1.594533,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '1.594533'}]",841,13.04,25,6,24,250,115,68
7,371,,,50,10,10,371,7,7,,,,7,1452,4,1452,17,13,7,1385,7,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),35-44,6920965699384,FB_iOS_Purchase_Rap_251203,61,"[{'action_type': 'subscribe_mobile_app', 'value': '68.35'}, {'action_type': 'subscribe_total', 'value': '68.35'}]",1.367,"[{'action_type': 'outbound_click', 'value': '1.367'}]",1.367,6.835,0.184232,9.764286,0.047073,0.047073,4.020588,9.764286,0.04935,1.120492,16.707407,17.143215,1.491078,2025-12-06,2025-12-06,1.026085,4091,1.222195,50,"[{'action_type': 'outbound_click', 'value': '50'}]","[{'action_type': 'outbound_click', 'value': '1.222195'}]",3987,68.35,117,4,117,1234,599,323
4,346,2,,99,27,27,346,4,4,2,2,,4,2921,3,2921,33,28,4,2789,4,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),45-54,6920965699384,FB_iOS_Purchase_Rap_251203,112,"[{'action_type': 'subscribe_mobile_app', 'value': '35.265'}, {'action_type': 'subscribe_total', 'value': '35.265'}]",1.424848,"[{'action_type': 'outbound_click', 'value': '1.424848'}]",1.424848,5.224444,0.407688,35.265,0.048292,0.048292,4.274545,35.265,0.050577,1.259464,22.172273,22.795734,1.760453,2025-12-06,2025-12-06,1.028119,6362,1.556114,99,"[{'action_type': 'outbound_click', 'value': '99'}]","[{'action_type': 'outbound_click', 'value': '1.556114'}]",6188,141.06,274,4,268,2530,1311,781
,145,,,37,15,15,145,,,,,,,787,,787,10,10,,740,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),55-64,6920965699384,FB_iOS_Purchase_Rap_251203,38,,1.054324,"[{'action_type': 'outbound_click', 'value': '1.054324'}]",1.054324,2.600667,0.269034,,0.049568,0.049568,3.901,,0.052716,1.026579,25.61392,26.792582,2.495076,2025-12-06,2025-12-06,1.046016,1523,2.429416,37,"[{'action_type': 'outbound_click', 'value': '37'}]","[{'action_type': 'outbound_click', 'value': '2.429416'}]",1456,39.01,117,5,115,685,402,270
,14,,,4,1,1,14,,,,,,,136,1,136,7,6,,125,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),65+,6920965699384,FB_iOS_Purchase_Rap_251203,5,,1.72,"[{'action_type': 'outbound_click', 'value': '1.72'}]",1.72,6.88,0.491429,,0.050588,0.050588,0.982857,,0.05504,1.376,25.481481,26.461538,1.851852,2025-12-06,2025-12-06,1.038462,270,1.481481,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.481481'}]",260,6.88,18,5,17,118,72,39
,,,,,,,,,,,,,,1,,1,,,,1,,6920992822784,03 Mike_gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),45-54,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,1,1,,,,,1,0.01,,4,,1,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),25-34,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.12,0.12,,,0.12,,40,40,0,2025-12-06,2025-12-06,1,3,,,,,3,0.12,,3,,1,,
