action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480184,04 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-15,2025-12-15,1,female,1,,,,,1,0.01,,3,,,,
,,,,3,2,2,,,,,,,,,,97,,97,,,,94,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,1.706667,"[{'action_type': 'outbound_click', 'value': '1.706667'}]",1.706667,2.56,,,0.052784,0.052784,,,0.054468,1.706667,16.410256,16.953642,0.961538,2025-12-15,2025-12-15,1.033113,female,312,0.961538,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.961538'}]",302,5.12,12,3,10,91,41,25
,1,,,1,,,1,,,,,,,,,3,,3,,,,2,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.36,"[{'action_type': 'outbound_click', 'value': '0.36'}]",0.36,,0.36,,0.12,0.12,,,0.18,0.36,22.5,25.714286,6.25,2025-12-15,2025-12-15,1.142857,male,16,6.25,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '6.25'}]",14,0.36,1,4,1,2,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-15,2025-12-15,1,unknown,1,,,,,1,0,,11,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6917505480984,13 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,male,1,,,,,1,0,,2,,,,
,163,1,,47,16,16,163,,,,16,1,1,,,1304,,1304,17,16,,1240,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,53,"[{'action_type': 'subscribe_mobile_app', 'value': '14.61'}, {'action_type': 'subscribe_total', 'value': '14.61'}, {'action_type': 'start_trial_mobile_app', 'value': '21.915'}, {'action_type': 'start_trial_total', 'value': '21.915'}]",0.932553,"[{'action_type': 'outbound_click', 'value': '0.932553'}]",0.932553,2.739375,0.268896,,0.033612,0.033612,2.578235,,0.035347,0.826981,12.419949,12.90636,1.501842,2025-12-15,2025-12-15,1.039164,female,3529,1.331822,47,"[{'action_type': 'outbound_click', 'value': '47'}]","[{'action_type': 'outbound_click', 'value': '1.331822'}]",3396,43.83,105,4,98,1066,529,295
,,,,1,,,,,,,1,,,,,57,,57,1,1,,55,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,1.58,"[{'action_type': 'outbound_click', 'value': '1.58'}]",1.58,,,,0.027719,0.027719,1.58,,0.028727,1.58,8.977273,9.404762,0.568182,2025-12-15,2025-12-15,1.047619,male,176,0.568182,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.568182'}]",168,1.58,7,4,6,46,20,15
,,,,,,,,,,,,,,,,11,,11,,,,11,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.029091,0.029091,,,0.029091,,12.8,12.8,0,2025-12-15,2025-12-15,1,unknown,25,,,,,25,0.32,1,4,1,10,4,2
,,,,,,,,,,,,,,,,,,,,,,,,6917505481384,01 Esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,male,1,,,,,1,0,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.07,0.07,,,0.07,,35,35,0,2025-12-15,2025-12-15,1,female,2,,,,,2,0.07,,4,,1,1,
