action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,1,,1,,,,1,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-11-29,2025-11-29,1,2,,,,,threads,2,0.02,1,18,1,1,1,1
,,,,,,,,,,,,,4,,4,,,,4,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.05751,0.05751,,,0.05751,,23.003903,38.339838,0,2025-11-29,2025-11-29,1.666667,10,,,,,audience_network,6,0.230039,2,4,2,4,2,2
,906,3,,124,44,44,906,,,,,,2820,1,2820,28,27,,2668,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,120,"[{'action_type': 'subscribe_mobile_app', 'value': '9.309227'}, {'action_type': 'subscribe_total', 'value': '9.309227'}, {'action_type': 'start_trial_mobile_app', 'value': '8.792047'}, {'action_type': 'start_trial_total', 'value': '8.792047'}]",1.276265,"[{'action_type': 'outbound_click', 'value': '1.276265'}]",1.276265,3.596747,0.174676,,0.056119,0.056119,5.65203,,0.059317,1.318807,23.232068,24.993185,1.761597,2025-11-29,2025-11-29,1.075805,6812,1.820317,124,"[{'action_type': 'outbound_click', 'value': '124'}]","[{'action_type': 'outbound_click', 'value': '1.820317'}]",facebook,6332,158.256851,339,5,312,2334,1251,991
,16,,,9,1,1,16,,,,,,203,,203,1,1,,193,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,11,,1.88143,"[{'action_type': 'outbound_click', 'value': '1.88143'}]",1.88143,16.932873,1.058305,,0.083413,0.083413,16.932873,,0.087735,1.539352,28.363271,28.748511,1.842546,2025-11-29,2025-11-29,1.013582,597,1.507538,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.507538'}]",instagram,589,16.932873,19,4,19,165,86,67
,,,,1,,,,,,,,,45,,45,,,,44,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.400238,"[{'action_type': 'outbound_click', 'value': '1.400238'}]",1.400238,,,,0.031116,0.031116,,,0.031824,1.400238,16.669495,16.669495,1.190476,2025-11-29,2025-11-29,1,84,1.190476,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.190476'}]",threads,84,1.400238,9,6,9,41,19,14
,,,,1,,,,,,,,,18,,18,,,,17,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.42,"[{'action_type': 'outbound_click', 'value': '0.42'}]",0.42,,,,0.023333,0.023333,,,0.024706,0.42,19.090909,35,4.545455,2025-11-29,2025-11-29,1.833333,22,4.545455,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.545455'}]",audience_network,12,0.42,1,6,2,16,7,3
,125,1,,38,12,12,125,,,,,,666,,666,4,4,,624,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,35,"[{'action_type': 'start_trial_mobile_app', 'value': '44.46'}, {'action_type': 'start_trial_total', 'value': '44.46'}]",1.17,"[{'action_type': 'outbound_click', 'value': '1.17'}]",1.17,3.705,0.35568,,0.066757,0.066757,11.115,,0.07125,1.270286,20.775701,21.783439,1.635514,2025-11-29,2025-11-29,1.048506,2140,1.775701,38,"[{'action_type': 'outbound_click', 'value': '38'}]","[{'action_type': 'outbound_click', 'value': '1.775701'}]",facebook,2041,44.46,75,4,69,535,294,217
,66,,,10,6,6,66,,,,,,202,1,202,4,3,,188,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,13,"[{'action_type': 'subscribe_mobile_app', 'value': '19.17'}, {'action_type': 'subscribe_total', 'value': '19.17'}, {'action_type': 'start_trial_mobile_app', 'value': '19.17'}, {'action_type': 'start_trial_total', 'value': '19.17'}]",1.917,"[{'action_type': 'outbound_click', 'value': '1.917'}]",1.917,3.195,0.290455,,0.094901,0.094901,4.7925,,0.101968,1.474615,25.323646,25.905405,1.717305,2025-11-29,2025-11-29,1.022973,757,1.321004,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.321004'}]",instagram,740,19.17,27,3,27,152,97,74
,,,,,,,,,,,,,53,,53,1,1,,52,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.037358,0.037358,1.98,,0.038077,,23.571429,23.571429,0,2025-11-29,2025-11-29,1,84,,,,,threads,84,1.98,8,7,8,45,28,17
,,,,,,,,,,,,,1,,1,,,,1,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0,0,,,0,,0,0,0,2025-11-29,2025-11-29,1,1,,,,,audience_network,1,0,,10,,1,1,
