action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,6,,6,,,,6,,6917461955184,03 will_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.018333,0.018333,,,0.018333,,8.461538,8.461538,0,2025-12-09,2025-12-09,1,13,,,,,threads,13,0.11,,4,,5,2,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-09,2025-12-09,1,1,,,,,audience_network,1,0,,6,,1,,
,,,,4,1,1,,,,,,,,,272,,272,,,,268,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,,2,"[{'action_type': 'outbound_click', 'value': '2'}]",2,8,,,0.029412,0.029412,,,0.029851,2,11.627907,11.74743,0.581395,2025-12-09,2025-12-09,1.010279,688,0.581395,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.581395'}]",facebook,681,8,17,4,15,237,121,63
,,,,,,,,,,,,,,,16,,16,,,,16,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.051875,0.051875,,,0.051875,,11.527778,11.527778,0,2025-12-09,2025-12-09,1,72,,,,,instagram,72,0.83,,2,,11,2,
,,,,,,,,,,,,,,,,,,,,,,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-09,2025-12-09,1,1,,,,,messenger,1,0.01,,1,,,,
,,,,,,,,,,,,,,,3,,3,,,,3,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.003333,0.003333,,,0.003333,,1.666667,1.666667,0,2025-12-09,2025-12-09,1,6,,,,,threads,6,0.01,,5,,3,1,
,,,,,,,,,,,,,,,17,,17,,,,17,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.028824,0.028824,,,0.028824,,12.894737,12.894737,0,2025-12-09,2025-12-09,1,38,,,,,facebook,38,0.49,,4,,15,7,2
,,,,,,,,,,,,,,,4,,4,,,,4,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.055,0.055,,,0.055,,12.222222,12.222222,0,2025-12-09,2025-12-09,1,18,,,,,instagram,18,0.22,,3,,4,2,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.04,0.04,,,0.04,,13.333333,13.333333,0,2025-12-09,2025-12-09,1,3,,,,,threads,3,0.04,,3,,1,,
,,,,1,,,,,,,,,,,4,,4,,,,3,,6917461956184,02 Mike_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.46,"[{'action_type': 'outbound_click', 'value': '0.46'}]",0.46,,,,0.115,0.115,,,0.153333,0.46,30.666667,30.666667,6.666667,2025-12-09,2025-12-09,1,15,6.666667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '6.666667'}]",facebook,15,0.46,,3,,3,2,1
,,,,,,,,,,,,,,,2,,2,,,,2,,6917461956184,02 Mike_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.11,0.11,,,0.11,,20,20,0,2025-12-09,2025-12-09,1,11,,,,,instagram,11,0.22,,1,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6917461956384,02 Timothy_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,15,15,0,2025-12-09,2025-12-09,1,2,,,,,facebook,2,0.03,,0,,,,
,,,,,,,,,,,,,,,3,,3,,,,3,,6917461956384,02 Timothy_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.126667,0.126667,,,0.126667,,19,21.111111,0,2025-12-09,2025-12-09,1.111111,20,,,,,instagram,18,0.38,,2,,3,,
