action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-13,2025-12-13,1,female,2,,,,,2,0.03,,3,,,,
,,,,,,,,,,,,,,,,5,,5,,,,5,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.084,0.084,,,0.084,,26.25,26.25,0,2025-12-13,2025-12-13,1,male,16,,,,,16,0.42,,2,,3,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,male,1,,,,,1,0.01,,4,,1,,
,2,,,1,,,2,,,,,,,,,2,,2,,,,1,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.01,"[{'action_type': 'outbound_click', 'value': '0.01'}]",0.01,,0.005,,,0.005,0.005,,,0.01,0.01,10,10,100,2025-12-13,2025-12-13,1,female,1,100,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '100'}]",1,0.01,,10,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,male,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461956784,01 Jesus_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,male,1,,,,,1,0.01,,2,,,,
,7,,,21,1,1,7,,,,4,,,,,401,1,401,5,4,,375,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,22,,0.700476,"[{'action_type': 'outbound_click', 'value': '0.700476'}]",0.700476,14.71,2.101429,,,0.036683,0.036683,2.942,,0.039227,0.668636,14.478346,15.056295,2.165354,2025-12-13,2025-12-13,1.039918,female,1016,2.066929,21,"[{'action_type': 'outbound_click', 'value': '21'}]","[{'action_type': 'outbound_click', 'value': '2.066929'}]",977,14.71,31,4,31,322,153,89
,471,4,1,118,35,35,471,,,1,14,1,1,,,3205,1,3205,17,14,,3070,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,125,"[{'action_type': 'subscribe_mobile_app', 'value': '9.003077'}, {'action_type': 'subscribe_total', 'value': '9.003077'}, {'action_type': 'start_trial_mobile_app', 'value': '8.36'}, {'action_type': 'start_trial_total', 'value': '8.36'}]",0.991864,"[{'action_type': 'outbound_click', 'value': '0.991864'}]",0.991864,3.344,0.248493,,117.04,0.036518,0.036518,6.884706,,0.038124,0.93632,13.687288,13.837787,1.461817,2025-12-13,2025-12-13,1.010996,male,8551,1.379956,118,"[{'action_type': 'outbound_click', 'value': '118'}]","[{'action_type': 'outbound_click', 'value': '1.379956'}]",8458,117.04,279,4,269,2738,1466,880
,,,,,,,,,,,,,,,,26,,26,,,,26,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.031923,0.031923,,,0.031923,,15.660377,15.961538,0,2025-12-13,2025-12-13,1.019231,unknown,53,,,,,52,0.83,2,4,2,25,9,6
,,,,,,,,,,,,,,,,,,,,,,,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,female,1,,,,,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.016667,0.016667,,,0.016667,,12.5,12.5,0,2025-12-13,2025-12-13,1,male,4,,,,,4,0.05,,3,,2,,
,,,,,,,,,,,,,,,,16,,16,,,,16,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.060625,0.060625,,,0.060625,,23.658537,25.526316,0,2025-12-13,2025-12-13,1.078947,female,41,,,,,38,0.97,2,4,2,14,6,5
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0,0,,,0,,0,0,0,2025-12-13,2025-12-13,1,male,1,,,,,1,0,,4,,1,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480384,05 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0,0,,,0,,0,0,0,2025-12-13,2025-12-13,1,male,1,,,,,1,0,,6,,1,,
,,,,3,1,1,,,,,1,,,,,30,,30,1,1,,26,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,0.536667,"[{'action_type': 'outbound_click', 'value': '0.536667'}]",0.536667,1.61,,,,0.053667,0.053667,1.61,,0.061923,0.536667,15.188679,15.784314,2.830189,2025-12-13,2025-12-13,1.039216,female,106,2.830189,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.830189'}]",102,1.61,5,3,4,26,12,8
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.14,0.14,,,0.14,,17.5,17.5,0,2025-12-13,2025-12-13,1,male,8,,,,,8,0.14,1,2,,1,1,1
