action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,2,,2,,,,2,,6920992823984,01 Santa_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.075,0.075,,,0.075,,12.5,12.5,0,2025-12-05,2025-12-05,UNKNOWN,1,12,,,,,UNKNOWN,12,0.15,,2,,2,2,1
,,,,,,,,,,,,,,,16,,16,1,1,,15,,6920992824184,01 Jesus_travis - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.04,0.04,0.64,,0.042667,,19.393939,20,0,2025-12-05,2025-12-05,UNKNOWN,1.03125,33,,,,,UNKNOWN,32,0.64,,4,,12,8,7
,,,,,,,,,,,,,,,24,,24,,,,24,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.0775,0.0775,,,0.0775,,30.491803,31,0,2025-12-05,2025-12-05,UNKNOWN,1.016667,61,,,,,UNKNOWN,60,1.86,4,4,4,20,13,9
,,,,,,,,,,,,,,,,,,,,,,,6920994403384,10_Red pants_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,15,15,0,2025-12-05,2025-12-05,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,2,,,,
7,594,2,1,123,56,56,594,7,7,,1,1,4,7,2735,3,2735,50,45,7,2562,7,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,119,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '34.825'}, {'action_type': 'subscribe_total', 'value': '34.825'}]",1.13252,"[{'action_type': 'outbound_click', 'value': '1.141803'}]",1.13252,2.4875,0.234512,19.9,0.050932,0.050932,2.786,19.9,0.054372,1.170588,24.611307,27.319082,2.102474,2025-12-05,2025-12-05,ABOVE_AVERAGE,1.110022,5660,2.173145,123,"[{'action_type': 'outbound_click', 'value': '122'}]","[{'action_type': 'outbound_click', 'value': '2.155477'}]",AVERAGE,5099,139.3,490,5,468,2353,1452,1056
,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920995424984,01_Eddie_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920995425184,06_WillS_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,173.333333,173.333333,0,2025-12-05,2025-12-05,UNKNOWN,1,3,,,,,UNKNOWN,3,0.52,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920995425384,02_jesus_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,40,40,0,2025-12-05,2025-12-05,UNKNOWN,1,1,,,,,UNKNOWN,1,0.04,,,,,,
5,582,4,,180,40,40,582,5,5,,2,2,2,5,3109,6,3109,43,35,5,2886,5,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,176,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '46.256667'}, {'action_type': 'subscribe_total', 'value': '46.256667'}]",0.770944,"[{'action_type': 'outbound_click', 'value': '0.770944'}]",0.770944,3.46925,0.238436,27.754,0.044635,0.044635,3.227209,27.754,0.048084,0.788466,20.211186,21.867318,2.563356,2025-12-05,2025-12-05,ABOVE_AVERAGE,1.081941,6866,2.621614,180,"[{'action_type': 'outbound_click', 'value': '180'}]","[{'action_type': 'outbound_click', 'value': '2.621614'}]",AVERAGE,6346,138.77,443,5,423,2568,1426,923
,,,,,,,,,,,,,,,,,,,,,,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,15,15,0,2025-12-05,2025-12-05,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,1,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.075,0.075,,,0.075,,21.428571,21.428571,0,2025-12-05,2025-12-05,UNKNOWN,1,7,,,,,UNKNOWN,7,0.15,,3,,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,6920996505784,09_red lipstick_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,40,40,0,2025-12-05,2025-12-05,UNKNOWN,1,2,,,,,UNKNOWN,2,0.08,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996505984,04_fbg_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,,12.5,12.5,0,2025-12-05,2025-12-05,UNKNOWN,1,4,,,,,UNKNOWN,4,0.05,,2,,1,,
,,,,,,,,,,,,,,,5,,5,1,1,,4,,6920996506184,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.046,0.046,0.23,,0.0575,,19.166667,19.166667,0,2025-12-05,2025-12-05,UNKNOWN,1,12,,,,,UNKNOWN,12,0.23,1,5,1,4,3,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996506384,06_green hair_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,10,10,0,2025-12-05,2025-12-05,UNKNOWN,1,3,,,,,UNKNOWN,3,0.03,,3,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.06,0.06,,,0.06,,20,20,0,2025-12-05,2025-12-05,UNKNOWN,1,3,,,,,UNKNOWN,3,0.06,,5,,1,1,1
,,,,,,,,,,,,,,,3,,3,1,1,,2,,6920996506784,10_Red pants_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.04,0.04,0.12,,0.06,,30,30,0,2025-12-05,2025-12-05,UNKNOWN,1,4,,,,,UNKNOWN,4,0.12,,4,,2,1,1
1,516,4,,112,55,55,516,1,1,,1,1,,1,2625,7,2625,47,39,1,2466,1,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,114,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '147.7'}, {'action_type': 'subscribe_total', 'value': '147.7'}]",1.31875,"[{'action_type': 'outbound_click', 'value': '1.31875'}]",1.31875,2.685455,0.28624,147.7,0.056267,0.056267,3.142553,147.7,0.059895,1.295614,26.684734,29.67055,2.059621,2025-12-05,2025-12-05,AVERAGE,1.111892,5535,2.023487,112,"[{'action_type': 'outbound_click', 'value': '112'}]","[{'action_type': 'outbound_click', 'value': '2.023487'}]",BELOW_AVERAGE_35,4978,147.7,334,5,320,2229,1342,938
,,,,,,,,,,,,,,,,,,,,,,,6920996507184,08_Red dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,26,26,0,2025-12-05,2025-12-05,UNKNOWN,1,5,,,,,UNKNOWN,5,0.13,,0,,,,
