action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,191,1,,45,18,18,191,,,,,,904,1,904,9,8,,850,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,45,"[{'action_type': 'subscribe_mobile_app', 'value': '62.29'}, {'action_type': 'subscribe_total', 'value': '62.29'}, {'action_type': 'start_trial_mobile_app', 'value': '31.145'}, {'action_type': 'start_trial_total', 'value': '31.145'}]",1.384222,"[{'action_type': 'outbound_click', 'value': '1.384222'}]",1.384222,3.460556,0.326126,,0.068905,0.068905,6.921111,,0.073282,1.384222,21.74171,22.825211,1.570681,2025-11-29,2025-11-29,1.049835,female,2865,1.570681,45,"[{'action_type': 'outbound_click', 'value': '45'}]","[{'action_type': 'outbound_click', 'value': '1.570681'}]",2729,62.29,106,4,101,722,410,299
,,,,4,,,,,,,,,32,,32,,,,28,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,,0.89,"[{'action_type': 'outbound_click', 'value': '0.89'}]",0.89,,,,0.11125,0.11125,,,0.127143,0.89,28.48,29.915966,3.2,2025-11-29,2025-11-29,1.05042,male,125,3.2,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '3.2'}]",119,3.56,5,3,5,23,14,12
,,,,,,,,,,,,,3,,3,,,,3,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.06,0.06,,,0.06,,13.846154,13.846154,0,2025-11-29,2025-11-29,1,unknown,13,,,,,13,0.18,,2,,3,2,
,695,3,,65,42,42,695,,,,,,1271,,1271,12,12,,1194,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,68,"[{'action_type': 'subscribe_mobile_app', 'value': '11.4125'}, {'action_type': 'subscribe_total', 'value': '11.4125'}, {'action_type': 'start_trial_mobile_app', 'value': '7.608333'}, {'action_type': 'start_trial_total', 'value': '7.608333'}]",1.404615,"[{'action_type': 'outbound_click', 'value': '1.404615'}]",1.404615,2.17381,0.131367,,0.071833,0.071833,7.608333,,0.076466,1.342647,27.327148,29.865882,2.035319,2025-11-29,2025-11-29,1.092902,female,3341,1.945525,65,"[{'action_type': 'outbound_click', 'value': '65'}]","[{'action_type': 'outbound_click', 'value': '1.945525'}]",3057,91.3,132,6,126,1065,580,322
,20,1,,7,,,20,,,,,,301,,301,4,4,,290,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,"[{'action_type': 'subscribe_mobile_app', 'value': '24.71'}, {'action_type': 'subscribe_total', 'value': '24.71'}, {'action_type': 'start_trial_mobile_app', 'value': '24.71'}, {'action_type': 'start_trial_total', 'value': '24.71'}]",3.53,"[{'action_type': 'outbound_click', 'value': '3.53'}]",3.53,,1.2355,,0.082093,0.082093,6.1775,,0.085207,2.745556,24.513889,26.203606,0.892857,2025-11-29,2025-11-29,1.068929,male,1008,0.694444,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '0.694444'}]",943,24.71,46,3,46,272,149,79
,,,,,,,,,,,,,10,,10,,,,10,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.114,0.114,,,0.114,,43.846154,45.6,0,2025-11-29,2025-11-29,1.04,unknown,26,,,,,25,1.14,3,5,3,10,7,5
,,,,,,,,,,,,,,,,,,,,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,280,280,0,2025-11-29,2025-11-29,1,female,1,,,,,1,0.28,,2,,,,
,,,,,,,,,,,,,,,,,,,,,6916170650384,18 esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,30,30,0,2025-11-29,2025-11-29,1,female,1,,,,,1,0.03,,2,,,,
,,,,,,,,,,,,,,,,,,,,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,15,30,0,2025-11-29,2025-11-29,2,male,2,,,,,1,0.03,,1,,,,
,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-11-29,2025-11-29,1,female,1,,,,,1,0.01,,3,,,,
,19,,,1,1,1,19,,,,,,4,,4,,,,3,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.37,"[{'action_type': 'outbound_click', 'value': '0.37'}]",0.37,0.37,0.019474,,0.0925,0.0925,,,0.123333,0.37,41.111111,46.25,11.111111,2025-11-29,2025-11-29,1.125,male,9,11.111111,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '11.111111'}]",8,0.37,,3,,2,1,
,,,,,,,,,,,,,,,,,,,,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,30,30,0,2025-11-29,2025-11-29,1,female,2,,,,,2,0.06,,2,,,,
,68,,,6,4,4,68,,,,,,84,3,84,7,4,,71,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,6,,1.898333,"[{'action_type': 'outbound_click', 'value': '1.898333'}]",1.898333,2.8475,0.1675,,0.135595,0.135595,1.627143,,0.160423,1.898333,58.112245,60.909091,3.061224,2025-11-29,2025-11-29,1.048128,female,196,3.061224,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '3.061224'}]",187,11.39,19,5,18,60,35,30
