action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,106,2,,44,9,9,106,,,,8,,,1,,810,3,810,12,9,,754,,6924712553784,01 Morgan_Snoop_Ginndjuice_01,6924712553984,FB_iOS_Rap_StartTrial_morgancartextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,44,"[{'action_type': 'subscribe_mobile_app', 'value': '42.93347'}, {'action_type': 'subscribe_total', 'value': '42.93347'}, {'action_type': 'start_trial_mobile_app', 'value': '10.733368'}, {'action_type': 'start_trial_total', 'value': '10.733368'}]",0.975761,"[{'action_type': 'outbound_click', 'value': '0.975761'}]",0.975761,4.770386,0.405033,,,0.053004,0.053004,3.577789,,0.056941,0.975761,16.608693,17.20091,1.702128,2025-12-13,2025-12-13,1.035657,2585,1.702128,44,"[{'action_type': 'outbound_click', 'value': '44'}]","[{'action_type': 'outbound_click', 'value': '1.702128'}]",facebook,2496,42.93347,99,3,93,669,368,231
,168,,1,31,14,14,168,,,,44,2,2,3,,1750,8,1750,58,47,,1661,,6924712553784,01 Morgan_Snoop_Ginndjuice_01,6924712553984,FB_iOS_Rap_StartTrial_morgancartextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,87,"[{'action_type': 'subscribe_mobile_app', 'value': '18.776518'}, {'action_type': 'subscribe_total', 'value': '18.776518'}, {'action_type': 'start_trial_mobile_app', 'value': '18.776518'}, {'action_type': 'start_trial_total', 'value': '18.776518'}]",2.422776,"[{'action_type': 'outbound_click', 'value': '2.422776'}]",2.422776,5.364719,0.44706,,,0.042918,0.042918,1.294932,,0.045217,0.863288,13.486455,13.898237,1.562219,2025-12-13,2025-12-13,1.030533,5569,0.556653,31,"[{'action_type': 'outbound_click', 'value': '31'}]","[{'action_type': 'outbound_click', 'value': '0.556653'}]",instagram,5404,75.106071,147,3,147,1482,679,394
,,,,,,,,,,,,,,,,,,,,,,,,6924712553784,01 Morgan_Snoop_Ginndjuice_01,6924712553984,FB_iOS_Rap_StartTrial_morgancartextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,messenger,1,0,,,,,,
,1,,1,2,,,1,,,,2,,,,,223,,223,3,2,,218,,6924712553784,01 Morgan_Snoop_Ginndjuice_01,6924712553984,FB_iOS_Rap_StartTrial_morgancartextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,2,,2.84023,"[{'action_type': 'outbound_click', 'value': '2.84023'}]",2.84023,,5.680459,,,0.025473,0.025473,1.893486,,0.026057,2.84023,12.707962,12.88086,0.447427,2025-12-13,2025-12-13,1.013605,447,0.447427,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.447427'}]",threads,441,5.680459,36,7,36,198,122,71
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924712908784,01 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-13,2025-12-13,1,1,,,,,threads,1,0.03,,6,,1,,
,356,,,65,22,22,356,,,,20,,,2,,1868,3,1868,25,22,,1778,,6924714716184,04 Morgan_humble,6924708943384,FB_iOS_Rap_StartTrial_morgancarmusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,62,"[{'action_type': 'subscribe_mobile_app', 'value': '15.722'}, {'action_type': 'subscribe_total', 'value': '15.722'}, {'action_type': 'start_trial_mobile_app', 'value': '11.23'}, {'action_type': 'start_trial_total', 'value': '11.23'}]",1.209385,"[{'action_type': 'outbound_click', 'value': '1.209385'}]",1.209385,3.573182,0.220815,,,0.042082,0.042082,3.1444,,0.044213,1.267903,16.135057,16.640559,1.272578,2025-12-13,2025-12-13,1.031329,4872,1.334154,65,"[{'action_type': 'outbound_click', 'value': '65'}]","[{'action_type': 'outbound_click', 'value': '1.334154'}]",facebook,4724,78.61,132,4,122,1541,746,400
,59,,,5,3,3,59,,,,2,,,,,207,2,207,4,2,,198,,6924714716184,04 Morgan_humble,6924708943384,FB_iOS_Rap_StartTrial_morgancarmusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,7,"[{'action_type': 'subscribe_mobile_app', 'value': '12.38'}, {'action_type': 'subscribe_total', 'value': '12.38'}, {'action_type': 'start_trial_mobile_app', 'value': '12.38'}, {'action_type': 'start_trial_total', 'value': '12.38'}]",2.476,"[{'action_type': 'outbound_click', 'value': '2.476'}]",2.476,4.126667,0.209831,,,0.059807,0.059807,3.095,,0.062525,1.768571,18.020378,18.505232,1.018923,2025-12-13,2025-12-13,1.026906,687,0.727802,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.727802'}]",instagram,669,12.38,16,3,16,179,69,46
,,,,,,,,,,,,,,,,59,,59,,,,59,,6924714716184,04 Morgan_humble,6924708943384,FB_iOS_Rap_StartTrial_morgancarmusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.025593,0.025593,,,0.025593,,13.130435,13.130435,0,2025-12-13,2025-12-13,1,115,,,,,threads,115,1.51,6,6,6,50,25,13
,,,,,,,,,,,,,,,,2,,2,,,,2,,6924716345384,02 Prerna_tusa,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.015,0.015,,,0.015,,15,15,0,2025-12-13,2025-12-13,1,2,,,,,audience_network,2,0.03,,5,,2,,
,154,1,,40,9,9,154,,,,9,1,1,,,945,,945,10,9,,895,,6924716345384,02 Prerna_tusa,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,38,"[{'action_type': 'subscribe_mobile_app', 'value': '28.38'}, {'action_type': 'subscribe_total', 'value': '28.38'}, {'action_type': 'start_trial_mobile_app', 'value': '9.46'}, {'action_type': 'start_trial_total', 'value': '9.46'}]",1.419,"[{'action_type': 'outbound_click', 'value': '1.419'}]",1.419,6.306667,0.368571,,,0.060063,0.060063,5.676,,0.063419,1.493684,18.297872,19.078992,1.225016,2025-12-13,2025-12-13,1.042689,3102,1.289491,40,"[{'action_type': 'outbound_click', 'value': '40'}]","[{'action_type': 'outbound_click', 'value': '1.289491'}]",facebook,2975,56.76,103,3,95,769,373,217
,117,,,12,11,11,117,,,,7,,,,,299,1,299,8,7,,279,,6924716345384,02 Prerna_tusa,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,16,"[{'action_type': 'subscribe_mobile_app', 'value': '12.005'}, {'action_type': 'subscribe_total', 'value': '12.005'}, {'action_type': 'start_trial_mobile_app', 'value': '12.005'}, {'action_type': 'start_trial_total', 'value': '12.005'}]",2.000833,"[{'action_type': 'outbound_click', 'value': '2.000833'}]",2.000833,2.182727,0.205214,,,0.080301,0.080301,3.00125,,0.086057,1.500625,22.418301,23.020134,1.493931,2025-12-13,2025-12-13,1.026846,1071,1.120448,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '1.120448'}]",instagram,1043,24.01,30,3,30,250,124,75
,6,,,2,,,6,,,,,,,,,95,,95,,,,93,,6924716345384,02 Prerna_tusa,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,2,,1.455,"[{'action_type': 'outbound_click', 'value': '1.455'}]",1.455,,0.485,,,0.030632,0.030632,,,0.03129,1.455,18.074534,18.074534,1.242236,2025-12-13,2025-12-13,1,161,1.242236,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.242236'}]",threads,161,2.91,12,6,12,84,36,18
,,,,,,,,,,,,,,,,,,,,,,,,6924716404584,03 Prerna_up,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,2,,,,,instagram,2,0.04,,3,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924716446184,04 Prerna_fancy,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-13,2025-12-13,1,1,,,,,threads,1,0.03,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6924716853184,05 Prerna_thot,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,,,,,,,30,30,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.03,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6924717875584,04 Morgan_Snoop_Ginndjuice_01,6924712553984,FB_iOS_Rap_StartTrial_morgancartextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,facebook,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924717875584,04 Morgan_Snoop_Ginndjuice_01,6924712553984,FB_iOS_Rap_StartTrial_morgancartextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.04,0.04,,,0.04,,13.333333,13.333333,0,2025-12-13,2025-12-13,1,3,,,,,instagram,3,0.04,,2,,1,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924718889384,02 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,audience_network,1,0.01,,6,,1,,
,117,,,16,10,10,117,,,,2,,,,,353,1,353,3,2,,334,,6924718889384,02 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,16,"[{'action_type': 'subscribe_mobile_app', 'value': '4.136'}, {'action_type': 'subscribe_total', 'value': '4.136'}, {'action_type': 'start_trial_mobile_app', 'value': '2.954286'}, {'action_type': 'start_trial_total', 'value': '2.954286'}]",1.2925,"[{'action_type': 'outbound_click', 'value': '1.2925'}]",1.2925,2.068,0.176752,,,0.058584,0.058584,6.893333,,0.061916,1.2925,15.444361,16.386688,1.194922,2025-12-13,2025-12-13,1.061014,1339,1.194922,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '1.194922'}]",facebook,1262,20.68,38,3,36,295,136,80
,23,,,6,2,2,23,,,,,,,,,146,1,146,1,,,139,,6924718889384,02 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,7,,1.84,"[{'action_type': 'outbound_click', 'value': '1.84'}]",1.84,5.52,0.48,,,0.075616,0.075616,11.04,,0.079424,1.577143,22.669405,24.317181,1.437372,2025-12-13,2025-12-13,1.072687,487,1.232033,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.232033'}]",instagram,454,11.04,16,3,16,123,57,37
,,,,,,,,,,,,,,,,21,,21,,,,21,,6924718889384,02 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.025714,0.025714,,,0.025714,,14.210526,14.210526,0,2025-12-13,2025-12-13,1,38,,,,,threads,38,0.54,2,6,2,18,10,7
,26,,,15,1,1,26,,,,2,1,1,2,,248,,248,5,4,,228,,6924719922384,03 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,14,,1.184667,"[{'action_type': 'outbound_click', 'value': '1.184667'}]",1.184667,17.77,0.683462,,,0.071653,0.071653,3.554,,0.077939,1.269286,20.783626,22.2125,1.637427,2025-12-13,2025-12-13,1.06875,855,1.754386,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '1.754386'}]",facebook,800,17.77,31,3,28,210,105,73
,88,,,17,5,5,88,,,,5,,,,,316,1,316,6,5,,293,,6924719922384,03 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,18,"[{'action_type': 'subscribe_mobile_app', 'value': '14.68'}, {'action_type': 'subscribe_total', 'value': '14.68'}, {'action_type': 'start_trial_mobile_app', 'value': '7.34'}, {'action_type': 'start_trial_total', 'value': '7.34'}]",1.727059,"[{'action_type': 'outbound_click', 'value': '1.727059'}]",1.727059,5.872,0.333636,,,0.092911,0.092911,4.893333,,0.100205,1.631111,22.515337,23.301587,1.380368,2025-12-13,2025-12-13,1.034921,1304,1.303681,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '1.303681'}]",instagram,1260,29.36,27,3,27,265,122,77
,,,,,,,,,,,1,,,,,97,,97,1,1,,96,,6924719922384,03 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.028557,0.028557,2.77,,0.028854,,15.21978,15.21978,0,2025-12-13,2025-12-13,1,182,,,,,threads,182,2.77,17,9,17,88,56,33
,35,1,,17,4,4,35,,,,4,,,,,394,,394,4,4,,373,,6925369207984,01Prerna_bollamarket1,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,16,,1.323529,"[{'action_type': 'outbound_click', 'value': '1.323529'}]",1.323529,5.625,0.642857,,,0.057107,0.057107,5.625,,0.060322,1.40625,17.800633,18.95535,1.265823,2025-12-13,2025-12-13,1.064869,1264,1.344937,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '1.344937'}]",facebook,1187,22.5,31,3,30,313,164,90
,5,,,3,,,5,,,,,,,,,72,,72,,,,69,,6925369207984,01Prerna_bollamarket1,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,3,,1.976667,"[{'action_type': 'outbound_click', 'value': '1.976667'}]",1.976667,,1.186,,,0.082361,0.082361,,,0.085942,1.976667,24.915966,25.34188,1.260504,2025-12-13,2025-12-13,1.017094,238,1.260504,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.260504'}]",instagram,234,5.93,5,3,5,59,35,23
,,,,,,,,,,,,,,,,28,,28,,,,28,,6925369207984,01Prerna_bollamarket1,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,0.052857,0.052857,,,0.052857,,19.220779,19.220779,0,2025-12-13,2025-12-13,1,77,,,,,threads,77,1.48,3,5,3,24,17,10
,,,,,,,,,,,,,,,,,,,,,,,,6925374916984,02black04_gasstation_1,6925369208384,FB_iOS_Rap_StartTrial_black04upvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0,,2,,,,
,,,,,,,,,,,,,,,,10,,10,,,,10,,6925375114184,03black04_gasstation2,6925369208384,FB_iOS_Rap_StartTrial_black04upvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,0.076,0.076,,,0.076,,18.095238,19,0,2025-12-13,2025-12-13,1.05,42,,,,,facebook,40,0.76,2,3,1,10,5,5
,,,,1,1,1,,,,,,,,,,25,1,25,1,,,23,,6925375114184,03black04_gasstation2,6925369208384,FB_iOS_Rap_StartTrial_black04upvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,1,,1.81,"[{'action_type': 'outbound_click', 'value': '1.81'}]",1.81,1.81,,,,0.0724,0.0724,1.81,,0.078696,1.81,23.506494,23.506494,1.298701,2025-12-13,2025-12-13,1,77,1.298701,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.298701'}]",instagram,77,1.81,4,3,4,18,12,12
,,,,,,,,,,,,,,,,9,,9,,,,9,,6925375114184,03black04_gasstation2,6925369208384,FB_iOS_Rap_StartTrial_black04upvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,0.047778,0.047778,,,0.047778,,19.545455,19.545455,0,2025-12-13,2025-12-13,1,22,,,,,threads,22,0.43,,3,,8,3,2
,3,,,,1,1,3,,,,,,,,,,,,,,,,,6925378629584,02Prerna_gasstation1,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,0,0,,,,,,,,,,,,2025-12-13,2025-12-13,0,0,,,,,audience_network,0,0,,,,,,
,20,,,2,1,1,20,,,,,,,,,83,,83,,,,81,,6925378629584,02Prerna_gasstation1,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,2,"[{'action_type': 'subscribe_mobile_app', 'value': '5.1'}, {'action_type': 'subscribe_total', 'value': '5.1'}, {'action_type': 'start_trial_mobile_app', 'value': '5.1'}, {'action_type': 'start_trial_total', 'value': '5.1'}]",2.55,"[{'action_type': 'outbound_click', 'value': '2.55'}]",2.55,5.1,0.255,,,0.061446,0.061446,,,0.062963,2.55,19.318182,20.4,0.757576,2025-12-13,2025-12-13,1.056,264,0.757576,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.757576'}]",facebook,250,5.1,9,3,9,75,36,24
,25,,,5,2,2,25,,,,,,,,,32,,32,,,,27,,6925378629584,02Prerna_gasstation1,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,5,"[{'action_type': 'subscribe_mobile_app', 'value': '2.82'}, {'action_type': 'subscribe_total', 'value': '2.82'}, {'action_type': 'start_trial_mobile_app', 'value': '2.82'}, {'action_type': 'start_trial_total', 'value': '2.82'}]",0.564,"[{'action_type': 'outbound_click', 'value': '0.564'}]",0.564,1.41,0.1128,,,0.088125,0.088125,,,0.104444,0.564,24.521739,24.955752,4.347826,2025-12-13,2025-12-13,1.017699,115,4.347826,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '4.347826'}]",instagram,113,2.82,2,2,2,23,9,8
,,,,,,,,,,,,,,,,4,,4,,,,4,,6925378629584,02Prerna_gasstation1,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,0.0925,0.0925,,,0.0925,,30.833333,30.833333,0,2025-12-13,2025-12-13,1,12,,,,,threads,12,0.37,2,7,2,4,3,2
,,,,,,,,,,,,,,,,,,,,,,,,6925378999984,03Prerna_gasstation2,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,,,,,,,50,50,0,2025-12-13,2025-12-13,1,1,,,,,facebook,1,0.05,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6925378999984,03Prerna_gasstation2,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.01,,1,,,,
,2,,,3,1,1,2,,,,,,,,,53,,53,,,,50,,6925379086584,04Prerna_redcar,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,2,,1.683333,"[{'action_type': 'outbound_click', 'value': '1.683333'}]",1.683333,5.05,2.525,,,0.095283,0.095283,,,0.101,2.525,35.56338,35.815603,1.408451,2025-12-13,2025-12-13,1.007092,142,2.112676,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.112676'}]",facebook,141,5.05,4,4,4,46,29,19
,,,,,,,,,,,,,,,,25,,25,,,,25,,6925379086584,04Prerna_redcar,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,0.09,0.09,,,0.09,,30,30.405405,0,2025-12-13,2025-12-13,1.013514,75,,,,,instagram,74,2.25,2,3,2,22,9,6
,,,,,,,,,,,,,,,,2,,2,,,,2,,6925379086584,04Prerna_redcar,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,0.14,0.14,,,0.14,,40,40,0,2025-12-13,2025-12-13,1,7,,,,,threads,7,0.28,2,24,2,2,2,2
,3,,,2,,,3,,,,1,,,,,46,,46,1,1,,43,,6926060791784,02_blonde_jumpoff_gasstation1,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,2,,2.325,"[{'action_type': 'outbound_click', 'value': '2.325'}]",2.325,,1.55,,,0.101087,0.101087,4.65,,0.10814,2.325,35.496183,38.75,1.526718,2025-12-13,2025-12-13,1.091667,131,1.526718,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.526718'}]",facebook,120,4.65,1,3,1,34,17,11
,3,,,2,,,3,,,,,,,,,15,,15,,,,13,,6926060791784,02_blonde_jumpoff_gasstation1,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,3,,0.6,"[{'action_type': 'outbound_click', 'value': '0.6'}]",0.6,,0.4,,,0.08,0.08,,,0.092308,0.4,25,27.272727,6.25,2025-12-13,2025-12-13,1.090909,48,4.166667,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '4.166667'}]",instagram,44,1.2,1,3,1,10,4,2
,,,,,,,,,,,,,,,,5,,5,,,,5,,6926060791784,02_blonde_jumpoff_gasstation1,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,0.03,0.03,,,0.03,,18.75,18.75,0,2025-12-13,2025-12-13,1,8,,,,,threads,8,0.15,3,10,3,5,4,3
,,,,,,,,,,,,,,,,,,,,,,,,6926063705384,03_blonde_jumpoff_gasstation2,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6926065374784,08_blonde_jumpoff_bolla1,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,facebook,1,0.02,,1,,,,
,1,,,1,,,1,,,,,,,,,3,,3,,,,2,,6926065374784,08_blonde_jumpoff_bolla1,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,1,,0.1,"[{'action_type': 'outbound_click', 'value': '0.1'}]",0.1,,0.1,,,0.033333,0.033333,,,0.05,0.1,20,20,20,2025-12-13,2025-12-13,1,5,20,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '20'}]",instagram,5,0.1,,4,,1,1,1
,,,,,,,,,,,,,,,,2,,2,,,,2,,6926065580384,10_blonde_jumpoff_bolla2,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,0.07,0.07,,,0.07,,20,23.333333,0,2025-12-13,2025-12-13,1.166667,7,,,,,facebook,6,0.14,1,4,1,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6926065580384,10_blonde_jumpoff_bolla2,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.02,,1,,,,
,,,,1,,,,,,,,,,,,5,,5,,,,4,,6926065746384,11_blonde_jumpoff_gasstation4,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,0.16,"[{'action_type': 'outbound_click', 'value': '0.16'}]",0.16,,,,,0.032,0.032,,,0.04,,32,40,0,2025-12-13,2025-12-13,1.25,5,20,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '20'}]",facebook,4,0.16,3,12,3,4,3,3
,1,,,,,,1,,,,,,,,,8,,8,,,,8,,6926066018184,13_blonde_jumpoff_redcar,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,,,,,,1.35,,,0.16875,0.16875,,,0.16875,,37.5,42.1875,0,2025-12-13,2025-12-13,1.125,36,,,,,facebook,32,1.35,1,3,,8,4,3
