action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,5,,5,,,,5,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.054,0.054,,,0.054,,20.769231,20.769231,0,2025-12-13,2025-12-13,1,13,,,,,facebook,13,0.27,,2,,5,1,1
,,,,1,,,,,,,,,,,,6,,6,,,,5,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.29,"[{'action_type': 'outbound_click', 'value': '0.29'}]",0.29,,,,,0.048333,0.048333,,,0.058,0.29,36.25,36.25,12.5,2025-12-13,2025-12-13,1,8,12.5,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '12.5'}]",instagram,8,0.29,,3,,3,1,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.05,0.05,,,0.05,,16.666667,16.666667,0,2025-12-13,2025-12-13,1,3,,,,,threads,3,0.05,,6,,1,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-13,2025-12-13,1,2,,,,,facebook,2,0.03,,6,,1,1,1
,1,,,,,,1,,,,,,,,,,,,,,,,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0,,,,,,,,,,,,2025-12-13,2025-12-13,0,0,,,,,facebook,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461954784,04 will_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,35,35,0,2025-12-13,2025-12-13,1,2,,,,,facebook,2,0.07,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461954784,04 will_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,25,25,0,2025-12-13,2025-12-13,1,2,,,,,instagram,2,0.05,,2,,,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.07,0.07,,,0.07,,15.555556,15.555556,0,2025-12-13,2025-12-13,1,9,,,,,facebook,9,0.14,1,5,1,2,1,1
,,,,,,,,,,,,,,,,7,,7,,,,7,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.038571,0.038571,,,0.038571,,18,18,0,2025-12-13,2025-12-13,1,15,,,,,instagram,15,0.27,,3,,6,4,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,threads,1,0.01,,13,,1,1,1
