action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,3,,,1,1,1,3,,,,,,,15,,15,,,,14,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,"[{'action_type': 'subscribe_mobile_app', 'value': '2.19'}, {'action_type': 'subscribe_total', 'value': '2.19'}, {'action_type': 'start_trial_mobile_app', 'value': '2.19'}, {'action_type': 'start_trial_total', 'value': '2.19'}]",2.19,"[{'action_type': 'outbound_click', 'value': '2.19'}]",2.19,2.19,0.73,,0.146,0.146,,,0.156429,2.19,39.818182,44.693878,1.818182,2025-11-30,2025-11-30,1.122449,55,1.818182,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.818182'}]",facebook,49,2.19,4,3,4,13,7,4
,2,,,1,,,2,,,,,,,3,,3,,,,2,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,0.43,"[{'action_type': 'outbound_click', 'value': '0.43'}]",0.43,,0.215,,0.143333,0.143333,,,0.215,0.215,61.428571,61.428571,28.571429,2025-11-30,2025-11-30,1,7,14.285714,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '14.285714'}]",instagram,7,0.43,1,4,1,2,2,2
,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,3,,,,,threads,3,0.03,,2,,,,
,,,,,,,,,,,,,,8,,8,,,,8,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.215,0.215,,,0.215,,38.222222,40,0,2025-11-30,2025-11-30,1.046512,45,,,,,facebook,43,1.72,,2,,8,2,2
,,,,,,,,,,,,,,1,,1,,,,1,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.05,0.05,,,0.05,,16.666667,16.666667,0,2025-11-30,2025-11-30,1,3,,,,,instagram,3,0.05,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6916143725584,jesus_rap_1_4x5_subtitles,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,20,20,0,2025-11-30,2025-11-30,1,1,,,,,facebook,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6916143725784,tyson_rap_2_4x5_subtitles,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,0,0,0,2025-11-30,2025-11-30,1,1,,,,,instagram,1,0,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,40,40,0,2025-11-30,2025-11-30,1,1,,,,,instagram,1,0.04,,1,,,,
,,,,,,,,,,,,,,6,,6,,,,6,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.275,0.275,,,0.275,,50,56.896552,0,2025-11-30,2025-11-30,1.137931,33,,,,,facebook,29,1.65,,2,,5,2,
,,,,,,,,,,,,,,1,,1,,,,1,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.29,0.29,,,0.29,,32.222222,32.222222,0,2025-11-30,2025-11-30,1,9,,,,,instagram,9,0.29,,2,,1,1,1
