action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,68,,,9,3,3,68,,,,2,,,,,274,,274,2,2,,263,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,10,"[{'action_type': 'subscribe_mobile_app', 'value': '5.935'}, {'action_type': 'subscribe_total', 'value': '5.935'}, {'action_type': 'start_trial_mobile_app', 'value': '2.9675'}, {'action_type': 'start_trial_total', 'value': '2.9675'}]",1.318889,"[{'action_type': 'outbound_click', 'value': '1.318889'}]",1.318889,3.956667,0.174559,,0.043321,0.043321,5.935,,0.045133,1.187,13.612385,13.612385,1.146789,2025-12-15,2025-12-15,1,872,1.03211,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.03211'}]",instagram,872,11.87,28,3,28,241,122,68
,,,,2,,,,,,,,,,,,165,,165,,,,163,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,1.63,"[{'action_type': 'outbound_click', 'value': '1.63'}]",1.63,,,,0.019758,0.019758,,,0.02,1.63,10.866667,10.90301,0.666667,2025-12-15,2025-12-15,1.003344,300,0.666667,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.666667'}]",threads,299,3.26,20,7,20,145,75,39
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-15,2025-12-15,1,6,,,,,facebook,6,0.06,,4,,3,1,1
,,,,,,,,,,,,,,,,4,,4,,,,4,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.0375,0.0375,,,0.0375,,25,30,0,2025-12-15,2025-12-15,1.2,6,,,,,facebook,5,0.15,,4,,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,15,15,0,2025-12-15,2025-12-15,1,2,,,,,instagram,2,0.03,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-15,2025-12-15,1,1,,,,,threads,1,0.02,,6,,1,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480184,04 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-15,2025-12-15,1,1,,,,,instagram,1,0.01,,3,,,,
,1,,,4,2,2,1,,,,,,,,,91,,91,,,,87,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,,1.125,"[{'action_type': 'outbound_click', 'value': '1.125'}]",1.125,2.25,4.5,,0.049451,0.049451,,,0.051724,1.125,16.129032,16.791045,1.433692,2025-12-15,2025-12-15,1.041045,279,1.433692,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.433692'}]",facebook,268,4.5,11,3,9,84,39,24
,,,,,,,,,,,,,,,,8,,8,,,,8,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.1175,0.1175,,,0.1175,,20,20,0,2025-12-15,2025-12-15,1,47,,,,,instagram,47,0.94,2,3,2,8,4,3
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,13.333333,13.333333,0,2025-12-15,2025-12-15,1,3,,,,,threads,3,0.04,,5,,2,,
