action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,78,1,,16,6,6,78,,,,4,2,2,,,306,1,306,7,4,,283,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,17,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '14.89'}, {'action_type': 'subscribe_total', 'value': '14.89'}, {'action_type': 'start_trial_mobile_app', 'value': '14.89'}, {'action_type': 'start_trial_total', 'value': '14.89'}]",0.930625,"[{'action_type': 'outbound_click', 'value': '0.930625'}]",0.930625,2.481667,0.190897,,,0.04866,0.04866,2.127143,,0.052615,0.875882,18.382716,18.968153,2.098765,2025-12-13,2025-12-13,ABOVE_AVERAGE,1.031847,810,1.975309,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '1.975309'}]",AVERAGE,785,14.89,43,4,42,249,139,95
,329,,,68,31,31,329,,,,17,,,2,,1916,2,1916,21,19,,1827,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,72,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '17.562'}, {'action_type': 'subscribe_total', 'value': '17.562'}, {'action_type': 'start_trial_mobile_app', 'value': '17.562'}, {'action_type': 'start_trial_total', 'value': '17.562'}]",1.291324,"[{'action_type': 'outbound_click', 'value': '1.291324'}]",1.291324,2.832581,0.2669,,,0.04583,0.04583,4.181429,,0.048062,1.219583,20.917103,20.917103,1.715102,2025-12-13,2025-12-13,ABOVE_AVERAGE,1,4198,1.619819,68,"[{'action_type': 'outbound_click', 'value': '68'}]","[{'action_type': 'outbound_click', 'value': '1.619819'}]",AVERAGE,4198,87.81,226,5,206,1661,911,579
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920992822784,03 Mike_gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,5,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920992823384,02 Timothy_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,0,,,,
,32,,,11,4,4,32,,,,1,,,,,244,,244,1,1,,232,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,12,ABOVE_AVERAGE,,0.963636,"[{'action_type': 'outbound_click', 'value': '0.963636'}]",0.963636,2.65,0.33125,,,0.043443,0.043443,10.6,,0.04569,0.883333,18.661972,18.761062,2.112676,2025-12-13,2025-12-13,ABOVE_AVERAGE,1.00531,568,1.93662,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '1.93662'}]",AVERAGE,565,10.6,22,4,22,206,105,63
,8,,,1,1,1,8,,,,,,,,,3,,3,,,,2,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,UNKNOWN,,0.35,"[{'action_type': 'outbound_click', 'value': '0.35'}]",0.35,0.35,0.04375,,,0.116667,0.116667,,,0.175,0.35,35,35,10,2025-12-13,2025-12-13,UNKNOWN,1,10,10,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '10'}]",UNKNOWN,10,0.35,,2,,2,1,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920994403184,01_black4_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-13,2025-12-13,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,2,,1,,
,413,1,,68,25,25,413,,,,29,1,1,1,,1749,2,1749,33,30,,1648,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,69,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '23.8675'}, {'action_type': 'subscribe_total', 'value': '23.8675'}, {'action_type': 'start_trial_mobile_app', 'value': '13.638571'}, {'action_type': 'start_trial_total', 'value': '13.638571'}]",1.403971,"[{'action_type': 'outbound_click', 'value': '1.403971'}]",1.403971,3.8188,0.231162,,,0.054585,0.054585,2.89303,,0.057931,1.383623,27.696548,28.287407,2.001741,2025-12-13,2025-12-13,ABOVE_AVERAGE,1.021333,3447,1.97273,68,"[{'action_type': 'outbound_click', 'value': '68'}]","[{'action_type': 'outbound_click', 'value': '1.97273'}]",BELOW_AVERAGE_35,3375,95.47,262,5,237,1514,976,698
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,0.09,0.09,,,0.09,,30,30,0,2025-12-13,2025-12-13,UNKNOWN,1,3,,,,,UNKNOWN,3,0.09,,1,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,,51.666667,51.666667,0,2025-12-13,2025-12-13,UNKNOWN,1,6,,,,,UNKNOWN,6,0.31,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920995424984,01_Eddie_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,,50,50,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0.05,,3,,,,
