action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,2,,2,,,,2,,6922621725384,08_Neymar_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.11,0.11,,,0.11,,20,20,0,2025-12-05,2025-12-05,1,11,,,,,instagram,11,0.22,,1,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6922621725384,08_Neymar_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,threads,1,0.01,,12,,1,1,1
,,,,,,,,,,,,,,,2,,2,,,,2,,6922622059984,09_oscar_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.105686,0.105686,,,0.105686,,23.485839,23.485839,0,2025-12-05,2025-12-05,1,9,,,,,facebook,9,0.211373,,3,,2,1,1
,,,,,,,,,,,,,,,8,,8,,,,8,,6922622059984,09_oscar_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.166078,0.166078,,,0.166078,,40.261438,41.519608,0,2025-12-05,2025-12-05,1.03125,33,,,,,instagram,32,1.328627,,2,,5,2,
,,,,,,,,,,,,,,,6,,6,,,,6,,6922622253984,10_Pedro_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.071667,0.071667,,,0.071667,,33.076923,33.076923,0,2025-12-05,2025-12-05,1,13,,,,,facebook,13,0.43,,3,,5,1,
,,,,,,,,,,,,,,,15,,15,,,,15,,6922622253984,10_Pedro_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,,,,,,,0.059333,0.059333,,,0.059333,0.89,18.93617,18.93617,2.12766,2025-12-05,2025-12-05,1,47,,,,,instagram,47,0.89,,2,,12,3,3
,,,,,,,,,,,,,,,3,,3,,,,3,,6922622253984,10_Pedro_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.03,0.03,,,0.03,,18,18,0,2025-12-05,2025-12-05,1,5,,,,,threads,5,0.09,1,6,1,3,1,1
,,,,,,,,,,,,,,,5,,5,,,,5,,6922622745984,11_Timmy_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.102,0.102,,,0.102,,22.173913,22.173913,0,2025-12-05,2025-12-05,1,23,,,,,facebook,23,0.51,,2,,3,1,
,,,,1,,,,,,,,,,,22,,22,,,,21,,6922622745984,11_Timmy_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,3.29,"[{'action_type': 'outbound_click', 'value': '3.29'}]",3.29,,,,0.149545,0.149545,,,0.156667,3.29,38.255814,39.166667,1.162791,2025-12-05,2025-12-05,1.02381,86,1.162791,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.162791'}]",instagram,84,3.29,,2,,12,2,2
,,,,,,,,,,,,,,,12,,12,,,,12,,6922622745984,11_Timmy_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.021667,0.021667,,,0.021667,,20,20,0,2025-12-05,2025-12-05,1,13,,,,,threads,13,0.26,2,8,2,10,4,4
,4,,,4,,,4,,,,,,,,66,,66,1,1,,61,,6922623122784,12_Tyson_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,4,,0.775,"[{'action_type': 'outbound_click', 'value': '0.775'}]",0.775,,0.775,,0.04697,0.04697,3.1,,0.05082,0.775,18.787879,19.496855,2.424242,2025-12-05,2025-12-05,1.037736,165,2.424242,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '2.424242'}]",facebook,159,3.1,7,3,7,49,17,12
,,,,,,,,,,,,,,,33,,33,,,,33,,6922623122784,12_Tyson_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.075152,0.075152,,,0.075152,,21.946903,21.946903,0,2025-12-05,2025-12-05,1,113,,,,,instagram,113,2.48,2,2,2,22,9,3
,,,,,,,,,,,,,,,10,,10,,,,10,,6922623122784,12_Tyson_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.078,0.078,,,0.078,,37.142857,37.142857,0,2025-12-05,2025-12-05,1,21,,,,,threads,21,0.78,,4,,10,,
,10,,,7,3,3,10,,,,,,,,138,,138,1,1,,130,,6922624055584,02_blackbodysuit_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,7,,1.727143,"[{'action_type': 'outbound_click', 'value': '1.727143'}]",1.727143,4.03,1.209,,0.087609,0.087609,12.09,,0.093,1.727143,31.321244,33.583333,1.813472,2025-12-05,2025-12-05,1.072222,386,1.813472,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.813472'}]",facebook,360,12.09,18,4,18,109,60,34
,8,,,4,2,2,8,,,,,,,,60,,60,,,,56,,6922624055584,02_blackbodysuit_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,6,,2.04,"[{'action_type': 'outbound_click', 'value': '2.72'}]",2.04,4.08,1.02,,0.136,0.136,,,0.145714,1.36,35.633188,37.260274,2.620087,2025-12-05,2025-12-05,1.045662,229,1.746725,4,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.310044'}]",instagram,219,8.16,2,3,2,47,19,7
,,,,,,,,,,,,,,,11,,11,,,,11,,6922624055584,02_blackbodysuit_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.055455,0.055455,,,0.055455,,33.888889,33.888889,0,2025-12-05,2025-12-05,1,18,,,,,threads,18,0.61,1,6,1,9,2,2
,37,2,,6,3,3,37,,,,,,,,75,,75,,,,69,,6922624481184,03_blackNew_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,6,,0.97,"[{'action_type': 'outbound_click', 'value': '0.97'}]",0.97,1.94,0.157297,,0.0776,0.0776,,,0.084348,0.97,37.307692,38.039216,3.846154,2025-12-05,2025-12-05,1.019608,156,3.846154,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '3.846154'}]",facebook,153,5.82,7,4,7,62,30,16
,38,,,5,4,4,38,,,,,,,,55,,55,2,2,,48,,6922624481184,03_blackNew_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,5,,0.868,"[{'action_type': 'outbound_click', 'value': '0.868'}]",0.868,1.085,0.114211,,0.078909,0.078909,2.17,,0.090417,0.868,25.988024,26.144578,2.994012,2025-12-05,2025-12-05,1.006024,167,2.994012,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '2.994012'}]",instagram,166,4.34,7,8,7,41,24,12
,,,,,,,,,,,,,,,2,,2,,,,2,,6922624481184,03_blackNew_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.045,0.045,,,0.045,,30,30,0,2025-12-05,2025-12-05,1,3,,,,,threads,3,0.09,1,13,1,2,1,1
,,,,1,,,,,,,,,,,45,,45,1,1,,43,,6922624897584,04_fbg Selfie_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,3.98,"[{'action_type': 'outbound_click', 'value': '3.98'}]",3.98,,,,0.088444,0.088444,3.98,,0.092558,3.98,31.338583,33.166667,0.787402,2025-12-05,2025-12-05,1.058333,127,0.787402,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.787402'}]",facebook,120,3.98,2,3,2,36,18,9
,,,,,,,,,,,,,,,4,,4,,,,4,,6922624897584,04_fbg Selfie_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.0825,0.0825,,,0.0825,,25.384615,25.384615,0,2025-12-05,2025-12-05,1,13,,,,,instagram,13,0.33,,3,,4,3,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6922624897584,04_fbg Selfie_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,threads,1,0.01,,13,,1,1,1
,,,,1,,,,,,,,,,,13,,13,,,,12,,6922648508584,05_greendress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,1.3,"[{'action_type': 'outbound_click', 'value': '1.3'}]",1.3,,,,0.1,0.1,,,0.108333,1.3,34.210526,38.235294,2.631579,2025-12-05,2025-12-05,1.117647,38,2.631579,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.631579'}]",facebook,34,1.3,2,5,2,12,6,4
,,,,,,,,,,,,,,,3,,3,,,,3,,6922648508584,05_greendress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.32,0.32,,,0.32,,50.526316,50.526316,0,2025-12-05,2025-12-05,1,19,,,,,instagram,19,0.96,,1,,2,,
,,,,,,,,,,,,,,,44,,44,,,,44,,6922648658784,06_greenhair_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.068636,0.068636,,,0.068636,,26.034483,26.725664,0,2025-12-05,2025-12-05,1.026549,116,,,,,facebook,113,3.02,8,4,8,40,18,12
,2,,,,,,2,,,1,,,,,11,,11,,,,11,,6922648658784,06_greenhair_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,,,,,0.635,,0.115455,0.115455,,,0.115455,1.27,25.4,26.458333,2,2025-12-05,2025-12-05,1.041667,50,,,,,instagram,48,1.27,,2,,9,1,
,,,,,,,,,,,,,,,2,,2,,,,2,,6922648658784,06_greenhair_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.045,0.045,,,0.045,,15,15,0,2025-12-05,2025-12-05,1,6,,,,,threads,6,0.09,2,9,2,2,2,2
,,,,,,,,,,,,,,,3,,3,,,,3,,6922648747384,07_nosering_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.26,0.26,,,0.26,,21.666667,22.285714,0,2025-12-05,2025-12-05,1.028571,36,,,,,facebook,35,0.78,,1,,3,,
,,,,1,,,,,,,,,,,11,,11,,,,10,,6922648747384,07_nosering_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,1.08,"[{'action_type': 'outbound_click', 'value': '1.08'}]",1.08,,,,0.098182,0.098182,,,0.108,1.08,36,36,3.333333,2025-12-05,2025-12-05,1,30,3.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.333333'}]",instagram,30,1.08,2,3,2,5,4,4
,1,,,1,,,1,,,,,,,,3,,3,,,,2,,6922648747384,07_nosering_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,0.06,"[{'action_type': 'outbound_click', 'value': '0.06'}]",0.06,,0.06,,0.02,0.02,,,0.03,0.06,30,30,50,2025-12-05,2025-12-05,1,2,50,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '50'}]",threads,2,0.06,2,20,2,2,2,2
,,,,1,,,,,,,,,,,3,,3,,,,2,,6922648806784,09_red lipstick_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,0.49,"[{'action_type': 'outbound_click', 'value': '0.49'}]",0.49,,,,0.163333,0.163333,,,0.245,0.49,54.444444,54.444444,11.111111,2025-12-05,2025-12-05,1,9,11.111111,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '11.111111'}]",facebook,9,0.49,,2,,2,1,
,,,,,,,,,,,,,,,3,,3,,,,3,,6922648806784,09_red lipstick_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.166667,0.166667,,,0.166667,,45.454545,45.454545,0,2025-12-05,2025-12-05,1,11,,,,,instagram,11,0.5,,2,,3,,
,,,,1,1,1,,,,,,,,,4,,4,,,,3,,6922648806784,09_red lipstick_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,0.12,"[{'action_type': 'outbound_click', 'value': '0.12'}]",0.12,0.12,,,0.03,0.03,,,0.04,0.12,40,40,33.333333,2025-12-05,2025-12-05,1,3,33.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '33.333333'}]",threads,3,0.12,1,23,1,3,2,2
,,,,3,,,,,,,,,,,17,,17,,,,14,,6922648896584,08_reddress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,3,,0.613333,"[{'action_type': 'outbound_click', 'value': '0.613333'}]",0.613333,,,,0.108235,0.108235,,,0.131429,0.613333,37.55102,39.148936,6.122449,2025-12-05,2025-12-05,1.042553,49,6.122449,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '6.122449'}]",facebook,47,1.84,3,3,3,13,7,4
,,,,,,,,,,,,,,,4,,4,,,,4,,6922648896584,08_reddress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.16,0.16,,,0.16,,42.666667,45.714286,0,2025-12-05,2025-12-05,1.071429,15,,,,,instagram,14,0.64,1,3,1,4,1,1
,,,,,,,,,,,,,,,2,,2,,,,2,,6922648896584,08_reddress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.015,0.015,,,0.015,,15,15,0,2025-12-05,2025-12-05,1,2,,,,,threads,2,0.03,,8,,2,,
,,,,,,,,,,,,,,,,,,,,,,,6922649227984,10_redPants_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,,,,,,,6.666667,6.666667,0,2025-12-05,2025-12-05,1,6,,,,,facebook,6,0.04,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6922649227984,10_redPants_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.06,0.06,,,0.06,,20,20,0,2025-12-05,2025-12-05,1,3,,,,,instagram,3,0.06,1,14,1,1,1,1
,,,,1,,,,,,,,,,,46,,46,,,,45,,6922651586784,11_YellowDress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,3.2,"[{'action_type': 'outbound_click', 'value': '3.2'}]",3.2,,,,0.069565,0.069565,,,0.071111,3.2,29.62963,31.683168,0.925926,2025-12-05,2025-12-05,1.069307,108,0.925926,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.925926'}]",facebook,101,3.2,5,5,5,41,18,13
,2,,,3,,,2,,,,1,1,,,32,,32,3,2,,26,,6922651586784,11_YellowDress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,4,,1.556667,"[{'action_type': 'outbound_click', 'value': '1.556667'}]",1.556667,,2.335,,0.145938,0.145938,1.556667,,0.179615,1.1675,49.157895,50.215054,4.210526,2025-12-05,2025-12-05,1.021505,95,3.157895,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '3.157895'}]",instagram,93,4.67,2,3,2,23,13,5
,,,,,,,,,,,,,,,7,,7,,,,7,,6922651863184,02_Eddie_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.044286,0.044286,,,0.044286,,20.666667,20.666667,0,2025-12-05,2025-12-05,1,15,,,,,facebook,15,0.31,2,6,2,7,4,3
,,,,,,,,,,,,,,,11,,11,,,,11,,6922651863184,02_Eddie_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.054545,0.054545,,,0.054545,,20.689655,20.689655,0,2025-12-05,2025-12-05,1,29,,,,,instagram,29,0.6,,3,,11,3,2
,,,,1,,,,,,,,,,,45,,45,1,1,,43,,6922652352184,06_michael_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,1.63,"[{'action_type': 'outbound_click', 'value': '1.63'}]",1.63,,,,0.036222,0.036222,1.63,,0.037907,1.63,20.123457,20.632911,1.234568,2025-12-05,2025-12-05,1.025316,81,1.234568,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.234568'}]",facebook,79,1.63,5,5,4,32,18,8
,,,,1,,,,,,,,,,,17,,17,,,,16,,6922652352184,06_michael_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,1.43,"[{'action_type': 'outbound_click', 'value': '1.43'}]",1.43,,,,0.084118,0.084118,,,0.089375,1.43,22.698413,23.833333,1.587302,2025-12-05,2025-12-05,1.05,63,1.587302,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.587302'}]",instagram,60,1.43,3,6,3,13,7,5
,,,,,,,,,,,,,,,5,,5,,,,5,,6922652352184,06_michael_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.026,0.026,,,0.026,,21.666667,21.666667,0,2025-12-05,2025-12-05,1,6,,,,,threads,6,0.13,2,10,2,5,2,2
,1,,,1,,,1,,,,,,,,76,,76,,,,75,,6922652927584,04_Jesus_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,3.94,"[{'action_type': 'outbound_click', 'value': '3.94'}]",3.94,,3.94,,0.051842,0.051842,,,0.052533,3.94,19.89899,20.102041,0.505051,2025-12-05,2025-12-05,1.010204,198,0.505051,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.505051'}]",facebook,196,3.94,8,3,8,57,23,12
,7,,,2,1,1,7,,,,,,,,60,,60,,,,58,,6922652927584,04_Jesus_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,3,,2.76,"[{'action_type': 'outbound_click', 'value': '2.76'}]",2.76,5.52,0.788571,,0.092,0.092,,,0.095172,1.84,31.363636,31.907514,1.704545,2025-12-05,2025-12-05,1.017341,176,1.136364,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.136364'}]",instagram,173,5.52,4,3,4,50,20,10
,,,,,,,,,,,,,,,7,,7,,,,7,,6922652927584,04_Jesus_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.047143,0.047143,,,0.047143,,22,22,0,2025-12-05,2025-12-05,1,15,,,,,threads,15,0.33,2,95,2,6,4,3
,,,,,,,,,,,,,,,5,,5,,,,5,,6922653410384,05_lionel_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.046,0.046,,,0.046,,10.454545,10.952381,0,2025-12-05,2025-12-05,1.047619,22,,,,,facebook,21,0.23,1,3,1,5,3,2
,,,,1,,,,,,,,,,,5,,5,1,1,,3,,6922653410384,05_lionel_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,0.36,"[{'action_type': 'outbound_click', 'value': '0.36'}]",0.36,,,,0.072,0.072,0.36,,0.12,0.36,20,20,5.555556,2025-12-05,2025-12-05,1,18,5.555556,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '5.555556'}]",instagram,18,0.36,1,2,1,3,1,1
,,,,,,,,,,,,,,,2,,2,,,,2,,6922653410384,05_lionel_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.055,0.055,,,0.055,,36.666667,36.666667,0,2025-12-05,2025-12-05,1,3,,,,,threads,3,0.11,1,9,1,2,1,1
,,,,,,,,,,,,,,,3,,3,,,,3,,6922654558384,07_morgan_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.183333,0.183333,,,0.183333,,42.307692,42.307692,0,2025-12-05,2025-12-05,1,13,,,,,facebook,13,0.55,,3,,3,2,2
,,,,,,,,,,,,,,,4,,4,,,,4,,6922654558384,07_morgan_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.07,0.07,,,0.07,,25.454545,25.454545,0,2025-12-05,2025-12-05,1,11,,,,,instagram,11,0.28,,2,,4,1,
,,,,,,,,,,,,,,,4,,4,,,,4,,6922654558384,07_morgan_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.0325,0.0325,,,0.0325,,43.333333,43.333333,0,2025-12-05,2025-12-05,1,3,,,,,threads,3,0.13,2,543,2,4,3,3
,,,,,,,,,,,,,,,4,,4,,,,4,,6922655142584,08_neymar_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.0375,0.0375,,,0.0375,,15,15,0,2025-12-05,2025-12-05,1,10,,,,,facebook,10,0.15,1,3,1,2,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6922655142584,08_neymar_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.31,0.31,,,0.31,,23.846154,23.846154,0,2025-12-05,2025-12-05,1,13,,,,,instagram,13,0.31,,1,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6922655142584,08_neymar_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-05,2025-12-05,1,2,,,,,threads,2,0.03,,4,,1,,
,,,,,,,,,,,,,,,17,,17,,,,17,,6922655569384,09_pedro_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.060588,0.060588,,,0.060588,,24.52381,24.52381,0,2025-12-05,2025-12-05,1,42,,,,,facebook,42,1.03,,3,,16,8,3
,,,,1,,,,,,,,,,,9,,9,,,,8,,6922655569384,09_pedro_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,0.47,"[{'action_type': 'outbound_click', 'value': '0.47'}]",0.47,,,,0.052222,0.052222,,,0.05875,0.47,29.375,31.333333,6.25,2025-12-05,2025-12-05,1.066667,16,6.25,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '6.25'}]",instagram,15,0.47,,4,,7,4,1
,,,,,,,,,,,,,,,21,1,21,2,1,,19,,6922656041784,10_Tyson_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.064286,0.064286,0.675,,0.071053,,23.684211,25,0,2025-12-05,2025-12-05,1.055556,57,,,,,facebook,54,1.35,4,4,4,18,11,7
,,,,,,,,,,,,,,,26,,26,,,,26,,6922656041784,10_Tyson_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.073462,0.073462,,,0.073462,,34.107143,34.107143,0,2025-12-05,2025-12-05,1,56,,,,,instagram,56,1.91,2,4,2,22,6,4
,,,,,,,,,,,,,,,6,,6,,,,6,,6922656041784,10_Tyson_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.05,0.05,,,0.05,,25,25,0,2025-12-05,2025-12-05,1,12,,,,,threads,12,0.3,2,7,2,6,3,2
,,,,,,,,,,,,,,,2,,2,,,,2,,6922657152984,03_IdrisA_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.005,0.005,,,0.005,,5,5,0,2025-12-05,2025-12-05,1,2,,,,,facebook,2,0.01,,6,,2,1,
,,,,,,,,,,,,,,,,,,,,,,,6922657152984,03_IdrisA_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,instagram,1,0.02,,2,,,,
,,,,1,,,,,,,,,,,11,,11,,,,10,,6922657512784,prank,6922657511584,p_ads_newest_051225,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,1.4,"[{'action_type': 'outbound_click', 'value': '1.4'}]",1.4,,,,0.127273,0.127273,,,0.14,1.4,45.16129,45.16129,3.225806,2025-12-05,2025-12-05,1,31,3.225806,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.225806'}]",facebook,31,1.4,1,4,1,9,4,3
,,,,,,,,,,,,,,,14,,14,,,,14,,6922657512784,prank,6922657511584,p_ads_newest_051225,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.057143,0.057143,,,0.057143,,20.512821,20.512821,0,2025-12-05,2025-12-05,1,39,,,,,instagram,39,0.8,,3,,9,1,1
,,,,,,,,,,,,,,,4,,4,,,,4,,6922657512784,prank,6922657511584,p_ads_newest_051225,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.025,0.025,,,0.025,,20,20,0,2025-12-05,2025-12-05,1,5,,,,,threads,5,0.1,,6,,2,1,
